source_file,program,institution,city,degree,inst_type,track,language,tuition,scholarship,url
master-all.json,"Master Game Technology (VERIFIED NEGATIVE — re-confirmed, contains no audio specialisation)",Breda University of Applied Sciences (BUas),Breda,MSc (Master of Science),University of applied sciences (public),Music & sound technology,English,EUR 1.5k-5k/yr,"None found on the programme page. BUas's tuition-fees page has a 'Can you apply for a scholarship?' section but names no award in the retrieved text. The Holland Scholarship is a general Dutch national scheme for non-EEA students, worth checking independently — not confirmed for this programme.",https://www.buas.nl/en/programmes/master-game-technology
master-all.json,"Master of Music – pathway Music Design (strands: Music Production, Sound Design, Music Technology, Composition)",HKU University of the Arts Utrecht (HKU Music and Technology),Utrecht,Master of Music (MMus),University of the arts (hogeschool / university of applied sciences),Sound design / production,English | Dutch (the official page lists the language of instruction literally as 'English|Dutch'),EUR 1.5k-5k/yr,Holland Scholarship / NL Scholarship. HKU's own page states it is awarded to the 'most talented candidates'.,https://www.hku.nl/en/study-at-hku/music-and-technology/master-of-music-pathway-music-design
master-all.json,"Master of Music, pathway Music Design (strands: Music Technology, Music Production, Sound Design, Composition)",HKU University of the Arts Utrecht (Hogeschool voor de Kunsten Utrecht),Utrecht,Master's degree,Public (government-funded university of applied sciences for the arts),Sound design / production,English (lessons taught in English; approximately two-thirds of students are Dutch),EUR 1.5k-5k/yr,NL Scholarship; HKU Scholarship,https://www.hku.nl/en/study-at-hku/music-and-technology/master-of-music-pathway-music-design ; https://www.hku.nl/en/study-at-hku/explore-and-apply/tuition-fee-and-finances
master-all.json,"Master of Music, pathway Music Design — strand Music Production",HKU — Hogeschool voor de Kunsten Utrecht (HKU Music and Technology),Utrecht,Master's degree,Government-funded Dutch university of applied sciences. IND RECOGNISED SPONSOR: YES — HKU is listed on the IND Public Register of Recognised Sponsors for Education.,Sound design / production,English.,EUR 1.5k-5k/yr,"Holland Scholarship (€5,000, first year, non-EEA).",https://www.hku.nl/en/study-at-hku/music-and-technology/master-of-music-pathway-music-design
master-all.json,"Full Course (Beginners), Full Course (Advanced), Full Course Year 2, DJ Lessons, Private Lessons",Music Production Academy,"Rotterdam (Hoogstraat 38A, 3011 PR)",Not a degree,"Private music production school — commercial course provider, Ableton and Steinberg software partner",Acoustics / audio engineering,"Site is available in English and Dutch and an international-students page is maintained in English, which strongly implies English-capable delivery — but the language of instruction is STILL NOT explicitly stated anywhere. UNVERIFIED. For a one-year commitment this must be confirmed in writing before any payment.",EUR 1.5k-5k/yr,Partial,https://www.musicproductionacademy.nl/international-students-music-production/ ; https://www.musicproductionacademy.nl/
master-all.json,Master of Music in Sonology,Royal Conservatoire The Hague (Koninklijk Conservatorium) — Institute of Sonology,The Hague,Master of Music (MMus),Public conservatoire / university of the arts,Acoustics / audio engineering,English,EUR 1.5k-5k/yr,None found on the conservatoire's tuition page for non-EEA master's applicants.,https://sonology.org/masters-admission/ ; https://www.koncon.nl/en/programmes/master/sonology/master-sonology/entry-requirements
master-all.json,One-Year Course in Sonology,Royal Conservatoire The Hague — Institute of Sonology,The Hague,Not a degree,Public,Acoustics / audio engineering,English — 'All lessons are taught in English.',EUR 1.5k-5k/yr,Not stated,https://sonology.org/one-year-course-admission/ ; https://www.koncon.nl/en/programmes/other/sonology/oneyear-sonology ; https://www.koncon.nl/en/application-process/tuitionfees/course-fees
master-all.json,Electronic Music Production Certificate (8 months),SAE Institute Amsterdam,Amsterdam (Amsterdam-Noord campus),Not a degree,International chain campus — specialist audio academy,Sound design / production,English (intermediate level required),EUR 1.5k-5k/yr,Not stated,"https://www.sae.edu/nld/courses/emp/ (VERIFIED — 8 months, age 16 entry, full curriculum including beatmaking and sidechaining, Ableton Live 12 Suite licence included, Logic Pro, five named career paths, Sept 2026 and Jan 2027 intakes, laptop recommended not required). https://www.sae.edu/nld/course-fees-2026-2027/ (VERIFIED — three fee figures, registration-inclusive)."
master-all.json,Advanced Mixing & Mastering Certificate (4 months) — ONLINE,SAE Institute Amsterdam,Delivered ONLINE (optional on-campus 1-on-1 sessions in Amsterdam),Not a degree,International chain campus — specialist audio academy (SAE global network),Music business,English,EUR 1.5k-5k/yr,Partial,https://www.sae.edu/nld/courses/advanced-mixing-and-mastering-certificate/ ; https://www.sae.edu/nld/course-fees-2026-2027/
master-all.json,Electronic Music Production (SAE Certificate),SAE Institute Amsterdam,Amsterdam,Not a degree,International chain campus – specialist audio academy (SAE / Navitas),Music business,English. Course page states it is taught in English and that 'English intermediate level skills are required'.,EUR 1.5k-5k/yr,Not stated,https://www.sae.edu/nld/course-fees-2026-2027/ ; course: https://www.sae.edu/nld/courses/emp/ ; visa statement: https://www.sae.edu/nld/domestic-entry-requirements/ ; accreditation: https://www.sae.edu/nld/about-us/standards-accreditation/
master-all.json,"MA/MSc Professional Practice in Creative Media Industries (Audio Production discipline); plus BA/BSc (Hons) Audio Production, Audio Production Diploma and Advanced Diploma, and short certificates (DJ, Electronic Music Production, Advanced Mixing & Mastering)","SAE Institute Amsterdam (SAE Institute Netherlands, part of the global SAE / Navitas chain); degrees awarded and quality-assured by the University of Hertfordshire (UK)",Amsterdam,Not a degree,"Specialist audio academy, international chain (SAE / Navitas); private and non-government-funded (niet-bekostigd); CRKBO-registered short vocational provider",Music business,English,EUR 1.5k-5k/yr,Partial,https://www.sae.edu/nld/course-fees-2026-2027/
master-all.json,Master of Music (Arnhem) — single English-taught MMus; from 2026/2027 the Arnhem Jazz & Pop and Music Theatre masters merge into it. No dedicated production or sound-design specialism is published.,ArtEZ University of the Arts – Academy of Music / Conservatorium Arnhem,Arnhem,Master of Music (MMus),University of the arts (hogeschool),Sound design / production,English (page header: 'English • Arnhem'),EUR 5k-15k/yr,"TWO stackable schemes, both confirmed. (1) NL Scholarship — ArtEZ is a participating institution; open to non-EU/EEA nationals who have passed the entrance exam, been accepted to a full-time ArtEZ bachelor's or master's course, and enrolled through Studielink. (2) ArtEZ Scholarship — covers 50% of the institutional tuition fee for the ENTIRE degree duration, for non-EU/EEA first-year students who have never studied in the Netherlands before, with demonstrated financial need.",https://www.artez.nl/en/programmes/master/master-of-music-arnhem
master-all.json,Master The Sound of Innovation,"ArtEZ University of the Arts — Academy of Pop Music, Enschede",Enschede,Master's degree,Public (government-funded university of applied sciences for the arts),Music & sound technology,English,EUR 5k-15k/yr,NL Scholarship,https://www.artez.nl/en/courses/master/the-sound-of-innovation/admission ; https://www.artez.nl/en/study-at-artez/arrange-your-study/tuition-fees
master-all.json,"Master of Music – Pop, main subject Creative Producer",Codarts University of the Arts Rotterdam,Rotterdam,Master of Music (MMus),University of the arts (hogeschool) / conservatoire,Sound design / production,English. CONFIRMED in the official study guide: 'All classes are taught in English' for the Artistic Research curriculum. A 'good command of the Dutch language' clause applies only to Dutch-speaking students.,EUR 5k-15k/yr,NL Scholarship – Codarts Rotterdam is a listed participating institution for 2026-2027. No Codarts-specific master scholarship could be confirmed.,https://www.codarts.nl/en/education/masters/master-of-music/admission/admission-requirements-pop-creative-producer/
master-all.json,"Master of Music – main subject Electronic Music Performance (EMP), Jazz department","Conservatorium Maastricht, Zuyd University of Applied Sciences (Zuyd Hogeschool)",Maastricht,Master's degree,Publicly funded university of applied sciences (hbo / hogeschool); Conservatorium Maastricht is the music faculty of Zuyd,Music business,ENGLISH — CONFIRMED verbatim on the official language-requirements page: 'The programmes of Master of Music are taught in English. Therefore you must have a thorough active and passive command of English.' No Dutch required.,EUR 5k-15k/yr,Partial,"https://www.conservatoriummaastricht.nl/study-here/jazz/master/master-electronic-music-performance (plus https://www.conservatoriummaastricht.nl/admission/how-apply/jazz-master, https://www.conservatoriummaastricht.nl/language-requirements, https://www.conservatoriummaastricht.nl/admission/tuition-fees-scholarships and the primary fee source https://www.zuyd.nl/sites/default/files/2026-06/Tuition_fees_and_examination_fees_2026-2027.pdf)"
master-all.json,"Master of Music — Pop specialisation (also Creator Performer, Classical, Jazz, Music Theatre)","Fontys University of Applied Sciences — Fontys Academy of the Arts / Rockacademie, Tilburg",Tilburg,Master's degree,Public (government-funded university of applied sciences),Other / adjacent,English,EUR 5k-15k/yr,NL Scholarship (Fontys),https://www.fontys.nl/en/Programmes/Music-master-full-time.htm ; https://www.fontys.nl/en/Study-at-Fontys/Practical-information/Finance.htm
master-all.json,Master of Music in Sonology,"Institute of Sonology, Royal Conservatoire The Hague (Koninklijk Conservatorium / University of the Arts The Hague)",The Hague,Master of Music (MMus),"Conservatoire (publicly funded Dutch conservatory, part of Royal Conservatoire The Hague)",Acoustics / audio engineering,"English — ""The studies will be conducted in English and applicants are expected to be adequately fluent with the language.""",EUR 5k-15k/yr,"No Sonology-specific scholarship verified. Nationally, the NL Scholarship (formerly Holland Scholarship) is a one-off €5,000 award for non-EEA students; the Royal Conservatoire also lists a ""Scholarships for Master's Students"" section whose contents are UNVERIFIED.",https://sonology.org/masters-admission/
master-all.json,MSc Creative Intelligence & Technology (formerly MSc Media Technology),Leiden University — Leiden Institute of Advanced Computer Science (LIACS) with the Academy of Creative and Performing Arts (ACPA),Leiden,Master's degree,Public research university,Sound design / production,English,EUR 5k-15k/yr,Leiden University Excellence Scholarship (LExS); Holland Scholarship / NL Scholarship; Orange Knowledge Programme (disc…,https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology ; https://www.studyinnl.org/dutch-education/studies/creative-intelligence-technology-354-leiden-university ; https://mediatechnology.leiden.edu/programme/curriculum/essentials-in-art-music/ ; https://www.universiteitleiden.nl/en/staffmembers/edwin-van-der-heide
master-all.json,"Master Experimental Publishing (XPUB), Master of Arts in Fine Art and Design","Piet Zwart Institute — Willem de Kooning Academy, Rotterdam University of Applied Sciences (Hogeschool Rotterdam)",Rotterdam,Master's degree,Public (government-funded university of applied sciences),Other / adjacent,"English — 'English is our working language, and proficiency in both speaking and writing is a necessity.'",EUR 5k-15k/yr,Not stated,https://www.pzwart.nl/experimental-publishing/ ; https://www.pzwart.nl/experimental-publishing/apply/ ; https://www.pzwart.nl/application/deadlines/ ; https://www.pzwart.nl/application/international-students/ ; https://www.rotterdamuas.com/programmes/master/experimental-publishing/
master-all.json,Master of Music in Sonology,Royal Conservatoire The Hague – Institute of Sonology,The Hague,Master of Music (MMus) in Sonology,"Conservatoire (Royal Conservatoire, University of the Arts The Hague)",Acoustics / audio engineering,English (confirmed),EUR 5k-15k/yr,"Royal Conservatoire Excellence Scholarships — CONFIRMED as the only named scheme, 'awarded to Master's candidates who perform best in the entrance exams', with both EEA and non-EEA students eligible.",https://www.koncon.nl/en/programmes/master/sonology/master-sonology/entry-requirements
master-all.json,MA/MSc Professional Practice in Creative Media Industries — Audio Production specialism,SAE Institute (awarded by University of Hertfordshire). NOTE: substantively published only on SAE's UK site — the Netherlands course URL returns HTTP 404.,Fully ONLINE — no campus attendance. NOT an Amsterdam-delivered programme.,Master's degree,International chain campus — specialist audio/creative-media academy (SAE operates ~50 campuses worldwide),Music business,English,EUR 5k-15k/yr,Partial,"https://www.sae.edu/gbr/courses/ma-msc-professional-practice/ (VERIFIED — award, £6,750 fee, three entry routes, 500-word proposal, eight specialisms, fully online, Jan/May/Sep intakes). https://www.sae.edu/nld/courses/ma-msc-professional-practice/ (HTTP 404 — DEAD). https://www.sae.edu/nld/masters/ (HTTP 404 — DEAD). https://www.sae.edu/nld/domestic-entry-requirements/ (VERIFIED — visa and DUO exclusion, IELTS 6.5 postgraduate). https://www.sae.edu/nld/course-fees-2026-2027/ (VERIFIED — MA/MSc absent from NL fee schedule)."
master-all.json,MAGMa - Erasmus Mundus Joint Master in Managing Art and Cultural Heritage in Global Markets,Consortium of 5: University of Glasgow + ISCTE Lisboa + ULisboa Faculty of Humanities + IESA Arts & Culture P…,,Master's degree,Consortium,Music-Business,English,EUR 5k-15k/yr,"Erasmus Mundus scholarship (max EUR 33,600 over 2 years)",https://www.gla.ac.uk/postgraduate/erasmusmundus/magma/
master-all.json,MAGMa — Managing Art & Cultural Heritage in Global Markets (Erasmus Mundus Joint Master),"Consortium: University of Glasgow (coordinator), ISCTE-IUL Lisbon, Universidade de Lisboa (Humanities), IESA …",,Master's degree,Consortium (public universities + IESA private arts school),Music-Business (arts & cultural management / creative-industries business),"English (English-medium; explicit statement not on page, but English test required for non-native speakers)",EUR 5k-15k/yr,Erasmus Mundus Joint Masters Scholarship,https://www.gla.ac.uk/postgraduate/erasmusmundus/magma/
master-all.json,MAGMa - Managing Art and Cultural Heritage in Global Markets (Erasmus Mundus Joint Master),"University of Glasgow (with ISCTE Lisboa, Universidade de Lisboa Faculty of Humanities, IESA Arts & Culture P…",,Master's degree,Consortium,Music-Business,"English (not explicitly stated on the page, but English test required and consortium teaching is in English - Check)",EUR 5k-15k/yr,"Erasmus Mundus Joint Masters scholarship - maximum €33,600 covering tuition fees, travel insurance and monthly stipends…",https://www.gla.ac.uk/postgraduate/erasmusmundus/magma/
master-all.json,Advanced Diploma in Music Production and Sound Engineering (full-time),"Abbey Road Institute Amsterdam (ARI Education NL B.V. — Abbey Road Studios' international education chain: London, Amsterdam, Paris, Los Angeles, Miami, Sydney, Johannesburg, Mumbai)",Amsterdam,Not a degree,International chain campus – specialist audio academy owned by/branded with Abbey Road Studios,Music business,English,Over EUR 15k/yr,Not stated,https://abbeyroadinstitute.nl/courses/diploma-music-production-sound-engineering/fees-funding/ ; entry requirements and visa statement: https://abbeyroadinstitute.nl/courses/diploma-music-production-sound-engineering/entry-requirements/ ; course and dates: https://abbeyroadinstitute.nl/courses/diploma-music-production-sound-engineering/
master-all.json,"MA Cultural Economics and Entrepreneurship (1 year, 60 ECTS)",Erasmus University Rotterdam (ESHCC),,Master's degree,Public,Music-Business,English,Over EUR 15k/yr,"NL Scholarship (non-EEA, EUR 5,000) + Erasmus Trustfonds Scholarship (amounts vary - check)",https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship
master-all.json,"MSc Creative Intelligence & Technology (formerly Media Technology MSc) - creative research with technology, incl. sound/installation work",Leiden University (LIACS + Academy of Creative and Performing Arts),,Master's degree,Public,Sound/Music-Tech,English,Over EUR 15k/yr,Leiden University Excellence Scholarship (LExS) - Faculty of Science IS listed as eligible and CRIT sits in the Faculty…,https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology
master-all.json,"MSc Creative Intelligence & Technology (formerly Media Technology), 2 years",Leiden University (LIACS),,Master's degree,Public,Sound/Music-Tech,English,Over EUR 15k/yr,Leiden University Excellence Scholarship (LExS) - non-EU master students; tiered awards (platinum = full tuition minus …,https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology
master-all.json,BA/BSc (Hons) Audio Production — Fast Track (24 months) and Standard (36 months),SAE Institute Amsterdam,Amsterdam (Amsterdam-Noord campus),Not a degree,International chain campus — specialist audio academy,Sound design / production,English,Over EUR 15k/yr,Partial,"https://www.sae.edu/nld/courses/audio-production/ (VERIFIED — Hertfordshire award, 24/36-month options, Sept 2026 and March 2027 intakes, 'No music background is required', SSL/Audient/Avid consoles, CRKBO registration, laptop recommended not required). https://www.sae.edu/nld/course-fees-2026-2027/ (VERIFIED — all fee figures and the registration-fee-inclusive structure). https://www.sae.edu/nld/domestic-entry-requirements/ (VERIFIED — visa statements, IELTS 6.0 undergraduate)."
master-all.json,Audio Production Advanced Diploma (Fast Track 18 months / Standard 24 months),SAE Institute Amsterdam,Amsterdam (Amsterdam-Noord campus),Not a degree,International chain campus — specialist audio academy,Music business,English,Over EUR 15k/yr,Not stated,"https://www.sae.edu/nld/courses/audio-production-advanced-diploma/ (VERIFIED — SAE's own diploma, 18/24-month options, Sept 2026 and March 2027 intakes, entry requirements, curriculum, facilities, and the ambiguous Hertfordshire boilerplate). https://www.sae.edu/nld/course-fees-2026-2027/ (VERIFIED — all seven fee figures)."
master-all.json,Audio Production Diploma (18 months),SAE Institute Amsterdam,Amsterdam (Amsterdam-Noord campus),Not a degree,International chain campus — specialist audio academy,Sound design / production,English,Over EUR 15k/yr,Not stated,"https://www.sae.edu/nld/courses/audio-production-diploma/ (VERIFIED — 18 months / three semesters, age-17 entry alternative, Sept 2026 and March 2027 intakes, curriculum, industry-standard studios, and the ABSENCE of any 3D-audio specialisation). https://www.sae.edu/nld/course-fees-2026-2027/ (VERIFIED — three fee figures and the registration-inclusive breakdown)."
master-all.json,Audio Production Diploma,"SAE Institute Amsterdam (SAE Institute, Navitas group – global chain)",Amsterdam,Not a degree,International chain campus – specialist audio academy (SAE / Navitas),Acoustics / audio engineering,English.,Over EUR 15k/yr,Not stated,https://www.sae.edu/nld/course-fees-2026-2027/ ; entry requirements and visa statement: https://www.sae.edu/nld/domestic-entry-requirements/ ; accreditation: https://www.sae.edu/nld/about-us/standards-accreditation/
master-all.json,BA/BSc (Hons) Audio Production,"SAE Institute Amsterdam, degree awarded by the University of Hertfordshire (UK)",Amsterdam,Not a degree,"International chain campus – specialist audio academy (SAE / Navitas), UK-validated",Acoustics / audio engineering,English,Over EUR 15k/yr,Not stated,https://www.sae.edu/nld/course-fees-2026-2027/ ; accreditation: https://www.sae.edu/nld/about-us/standards-accreditation/ ; entry and visa: https://www.sae.edu/nld/domestic-entry-requirements/
master-all.json,"MA Music Studies (Arts and Culture), 60 ECTS",University of Amsterdam (UvA),,Master's degree,Public,Sound/Music-Tech,English,Over EUR 15k/yr,Amsterdam Merit Scholarship (AMS) - the old Amsterdam Excellence Scholarship page now 404s and appears superseded by AM…,https://www.uva.nl/en/programmes/masters/music-studies-arts-and-culture/music-studies.html
master-all.json,"MA Music Studies (Arts and Culture) - musicology incl. computation, cognition, popular music",University of Amsterdam (UvA),,Master's degree,Public,Music-Business,English,Over EUR 15k/yr,"Letje Lips Amsterdam Merit Scholarship (LLAMS): 4 awards of EUR 37,500 for 2026-27, non-EU/EEA, non-privileged backgrou…",https://www.uva.nl/en/programmes/masters/music-studies-arts-and-culture/music-studies.html
master-all.json,DCLead — Digital Communication Leadership (Erasmus Mundus Joint Master; POLINN/TECMAN/ICT4D tracks) — PROGRAMME DISCONTINUED,"Consortium: Paris-Lodron University of Salzburg (coordinator), Vrije Universiteit Brussel, Aalborg University…",,Master's degree,Consortium (public universities),General-Business/MBA (digital media strategy & management),English,Not published,None,https://dclead.eu/
master-all.json,Master of Music (individual route; no dedicated production or sound-design specialism published),ArtEZ University of the Arts – Academy of Music Arnhem,Arnhem,Master of Music (MMus),University of the arts (hogeschool),Sound design / production,English,Not published,NL Scholarship – ArtEZ Institute of the Arts is a listed participating institution for 2026-2027,https://www.artez.nl/en/programmes/master/master-of-music-arnhem
master-all.json,Master of Music — The Sound of Innovation,ArtEZ University of the Arts — Academy of Pop Music (Popacademie),Enschede,Master's degree,"Government-funded Dutch university of applied sciences. IND RECOGNISED SPONSOR: YES (ArtEZ is on the IND register) — moot, as the programme is closed.",Music business,English.,Not published,Holland Scholarship (historically).,https://www.artez.nl/en/courses/master/the-sound-of-innovation/admission
master-all.json,MENA Scholarship Programme (MSP) — short-course/professional training funding,Dutch institutions (via Nuffic / Dutch Ministry of Foreign Affairs),,Funding scheme,Consortium,General-Business/MBA,English,Not published,MENA Scholarship Programme (MSP),https://www.studyinnl.org/finances/mena-scholarship-programme-msp/msp-tunisia
master-all.json,MA Cultural Economics and Entrepreneurship,Erasmus University Rotterdam,,Master's degree,Public,Music-Business,English,Not published,Erasmus Trustfonds Scholarship (confirmed listed on programme fees page); Holland Scholarship NOT mentioned on the prog…,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship
master-all.json,Master of Music — Music Design,"HKU University of the Arts Utrecht (Hogeschool voor de Kunsten Utrecht), School of Music and Technology / Utr…",Utrecht,MMus (Master of Music),Conservatory / university of the arts (publicly funded Dutch hogeschool),Sound design / production,"Page lists the programme as ""Engels|Nederlands"". CLARIFICATION CONFIRMED: lessons are taught in English, but roughly two-thirds of students are Dutch, so the day-to-day social and studio language will often be Dutch. His Arabic/French/English profile covers the teaching language; the informal environment is the risk.",Not published,"Holland Scholarship — named on the page as available to talented international candidates. This is a Dutch Ministry of Education scheme co-funded by institutions and is restricted to non-EEA students, so a Tunisian national is in scope. It is competitive and awarded independently of when in the round he applies.",https://www.hku.nl/studeren-aan-hku/muziek-en-technologie/master-music-design
master-all.json,"Master of Music, pathway Music Design",HKU University of the Arts Utrecht — HKU Music and Technology,Utrecht,Master's degree,University of the arts (publicly funded),Sound design / production,English,Not published,Not stated,https://www.hku.nl/en/study-at-hku/music-and-technology/master-of-music-pathway-music-design
master-all.json,MARKET-LEVEL FINDING — no private NVAO-accredited master in sound design or music production exists in the Netherlands,Netherlands private higher-education sector (systematic check across NVAO/CROHO-registered private institutions and all named specialist audio providers),Nationwide,Aggregate entry,"Sector-wide analysis covering private universities, private art schools, specialist audio academies and international chain campuses",Acoustics / audio engineering,"Relevant pattern: of nine private Dutch audio providers examined, only THREE teach in English (SAE Institute Amsterdam, Abbey Road Institute Amsterdam, DJ School Amsterdam). The remaining six — Sound Education, Pro Audio Education, Dutch Dance Music Academy, Master The Mix Academy, AV Sound Education, and the MBO institutions — teach in Dutch only, which independently rules them out for this candidate before accreditation or visa issues are even considered.",Not published,Partial,https://ind.nl/en/public-register-recognised-sponsors/public-register-study ; https://www.sae.edu/nld/domestic-entry-requirements/ ; https://abbeyroadinstitute.nl/frequently-asked-questions/ ; https://www.conservatoriumvanamsterdam.nl/en/study/focus-masters/immersive-audio/ ; https://www.hku.nl/studeren-aan-hku/muziek-en-technologie/master-music-design
