institution,programme_name,path_codes,spring_intake,start_month,start_date_verbatim,intakes_per_year,other_intakes,application_deadline_for_spring_intake,official_status,ruct_code,modality,language_of_instruction,tuition_total_eur,url,evidence_verbatim,notes,_verdicts_seen,_disagreement,_slices,_times_checked
Universidad Internacional de Valencia (VIU),Máster Universitario en Big Data y Ciencia de Datos,AB | AA,YES,April,'Convocatoria abril 26/27' — calendar PDF headed 'Planificación General / Máster / ABRIL 2026/27'. Exact day NOT PUBLISHED (colour-coded cell).,"2 ('Convocatoria octubre' and 'Convocatoria abril', each with its own full-year academic calendar)",October — currently promoted on the page as 'Oct. 2026',NOT FOUND — VIU publishes no closing date for either convocatoria,máster universitario (OFFICIAL) — page states 'Máster Universitario Oficial ... certificado y verificado por la ANECA y el Ministerio de Universidades',4317654,100% online,"Español (header badge 'Español'; page JSON-LD '""inLanguage"": ""es""')","NOT FOUND on the page (VIU quotes by advisor; page advertises 'Apertura de expediente gratuita y hasta un 33% de descuento', '5% adicional por pago al contado', '5% adicional por pago en dos plazos', 'Financiación a 36 meses sin intereses')",https://www.universidadviu.com/es/master-universitario-big-data-data-science,"Every VIU máster page publishes TWO separate academic calendars per academic year, listed under 'Calendarios académicos' — VERBATIM: 'Convocatoria octubre 26/27 ... Convocatoria abril 26/27 ... Convocatoria octubre 25/26 ... Convocatoria abril 25/26'. The April calendar PDF is a full standalone annual plan, headed VERBATIM 'Planificación General / Máster / ABRIL 2026/27', and its month grid runs April 2026 → April 2027 with legend entries 'Inicio del primer cuatrimestre', 'Inicio del segundo cuatrimestre', 'Tutoría inicial a cargo del Director/a de Título' and 'Períodos de TFM'. The Big Data programme's own April calendar is headed 'Máster Universitario en Big Data y Ciencia de Datos — ABRIL 2026/27 - Complementos Formativos' with legend 'Inicio de los Complementos Formativos' and a grid opening in February 2026, i.e. the bridging credits run BEFORE the April cohort's first cuatrimestre. VIU's central calendar page hosts the pair as separate general master calendars: '04_26 CG Máster.pdf' and '10_26 CG Máster.pdf'. Programme header badge as at 2026-08-29 (October convocatoria currently on sale): 'PLAZAS LIMITADAS | Oct. 2026 | 60 ECTS | Oficial | 100% online | Español'; JSON-LD on the page carries '""startDate"": ""Oct. 2026""'.","VERDICT: YES — a genuine second cohort start in APRIL, and the strongest structural evidence in this slice. It is not a 'second cuatrimestre' entry: VIU publishes a COMPLETE, SEPARATE annual academic plan for the April convocatoria ('Planificación General Máster ABRIL 2026/27', running April→April) alongside the October one, and it does so per programme as well as centrally. An April entrant follows their own first and second cuatrimestre, their own TFM period and their own complementos-formativos block — that is a cohort, not a mid-year join. EXACT DAY NOT FOUND: VIU's calendars are colour-coded graphics; the day cell marked 'Inicio del primer cuatrimestre' does not survive text extraction, and no VIU page prints the April start as a date. The best indirect evidence is the April 2026 Big Data calendar PDF's own filename and document title, '04_26 MU_Big Data y Ciencia de Datos (15-4-26)', with PDF CreationDate 15 April 2026 — consistent with a mid-April start, but recorded as indicative, NOT as the published start date. CYCLE NOTE FOR A SEPTEMBER-2027 TARGET: the currently published April calendar is 'abril 26/27', i.e. the cohort that started April 2026. The relevant one for this candidate would be the April 2027 ('abril 27/28') convocatoria, whose calendar was not yet published as at 2026-08-29. VIU's publication pattern (25/26 and 26/27 both present) makes its existence very likely but it is not yet a documented fact. APPLICATION DEADLINE: NOT FOUND. VIU publishes no closing date for either convocatoria; it markets on 'PLAZAS LIMITADAS' and rolling advisor-led admission. LANGUAGE: Spanish only ('Español' in the header badge, 'inLanguage: es' in the page's JSON-LD) — a hard filter for this candidate at A0/A1. COMPLEMENTOS: the plan lists 'Complementos Formativos — Herramientas de Programación (6), Herramientas de BBDD (6), Herramientas de Est...' required for applicants outside the direct-access degrees; a Software Engineering graduate has 'reconocimiento de enseñanzas previa' direct access, so these should not apply — VERIFY with VIU. The April cohort's complementos calendar starts in FEBRUARY, two months before the April cuatrimestre, so an April entrant needing CF actually starts in February.",YES,,"online, privates",2
Universidad Internacional de Valencia (VIU),Máster Universitario en Inteligencia Artificial,AA,YES,April,'Convocatoria abril 26/27' — calendar PDF headed 'Planificación General / Máster / ABRIL 2026/27'. Exact day NOT PUBLISHED (colour-coded cell).,"2 ('Convocatoria octubre' and 'Convocatoria abril', each with its own full-year academic calendar)",October — currently promoted on the page as 'Oct. 2026',NOT FOUND — VIU publishes no closing date for either convocatoria,máster universitario (OFFICIAL) — page states 'Máster Universitario Oficial ... certificado y verificado por la ANECA y el Ministerio de Universidades',4317649,100% online,"Español (header badge 'Español'; page JSON-LD '""inLanguage"": ""es""')","NOT FOUND on the page (VIU quotes by advisor; page advertises 'Apertura de expediente gratuita y hasta un 33% de descuento', '5% adicional por pago al contado', '5% adicional por pago en dos plazos', 'Financiación a 36 meses sin intereses')",https://www.universidadviu.com/es/master-inteligencia-artificial,"Every VIU máster page publishes TWO separate academic calendars per academic year, listed under 'Calendarios académicos' — VERBATIM: 'Convocatoria octubre 26/27 ... Convocatoria abril 26/27 ... Convocatoria octubre 25/26 ... Convocatoria abril 25/26'. The April calendar PDF is a full standalone annual plan, headed VERBATIM 'Planificación General / Máster / ABRIL 2026/27', and its month grid runs April 2026 → April 2027 with legend entries 'Inicio del primer cuatrimestre', 'Inicio del segundo cuatrimestre', 'Tutoría inicial a cargo del Director/a de Título' and 'Períodos de TFM'. The Big Data programme's own April calendar is headed 'Máster Universitario en Big Data y Ciencia de Datos — ABRIL 2026/27 - Complementos Formativos' with legend 'Inicio de los Complementos Formativos' and a grid opening in February 2026, i.e. the bridging credits run BEFORE the April cohort's first cuatrimestre. VIU's central calendar page hosts the pair as separate general master calendars: '04_26 CG Máster.pdf' and '10_26 CG Máster.pdf'. Programme header badge as at 2026-08-29 (October convocatoria currently on sale): 'PLAZAS LIMITADAS | Oct. 2026 | 60 ECTS | Oficial | 100% online | Español'; JSON-LD on the page carries '""startDate"": ""Oct. 2026""'.","VERDICT: YES — a genuine second cohort start in APRIL, and the strongest structural evidence in this slice. It is not a 'second cuatrimestre' entry: VIU publishes a COMPLETE, SEPARATE annual academic plan for the April convocatoria ('Planificación General Máster ABRIL 2026/27', running April→April) alongside the October one, and it does so per programme as well as centrally. An April entrant follows their own first and second cuatrimestre, their own TFM period and their own complementos-formativos block — that is a cohort, not a mid-year join. EXACT DAY NOT FOUND: VIU's calendars are colour-coded graphics; the day cell marked 'Inicio del primer cuatrimestre' does not survive text extraction, and no VIU page prints the April start as a date. The best indirect evidence is the April 2026 Big Data calendar PDF's own filename and document title, '04_26 MU_Big Data y Ciencia de Datos (15-4-26)', with PDF CreationDate 15 April 2026 — consistent with a mid-April start, but recorded as indicative, NOT as the published start date. CYCLE NOTE FOR A SEPTEMBER-2027 TARGET: the currently published April calendar is 'abril 26/27', i.e. the cohort that started April 2026. The relevant one for this candidate would be the April 2027 ('abril 27/28') convocatoria, whose calendar was not yet published as at 2026-08-29. VIU's publication pattern (25/26 and 26/27 both present) makes its existence very likely but it is not yet a documented fact. APPLICATION DEADLINE: NOT FOUND. VIU publishes no closing date for either convocatoria; it markets on 'PLAZAS LIMITADAS' and rolling advisor-led admission. LANGUAGE: Spanish only ('Español' in the header badge, 'inLanguage: es' in the page's JSON-LD) — a hard filter for this candidate at A0/A1. Confirmed to carry the same four calendars ('Convocatoria abril 25/26', 'abril 26/27', 'octubre 25/26', 'octubre 26/27'). JSON-LD: '""startDate"": ""Oct. 2026""', '""courseMode"": ""Online""'.",YES,,"online, privates",2
Universidad Internacional de Valencia (VIU),Máster Universitario en Ciberseguridad,AC,YES,April,'Convocatoria abril 26/27' — calendar PDF headed 'Planificación General / Máster / ABRIL 2026/27'. Exact day NOT PUBLISHED (colour-coded cell).,"2 ('Convocatoria octubre' and 'Convocatoria abril', each with its own full-year academic calendar)",October — currently promoted on the page as 'Oct. 2026',NOT FOUND — VIU publishes no closing date for either convocatoria,máster universitario (OFFICIAL) — page states 'Máster Universitario Oficial ... certificado y verificado por la ANECA y el Ministerio de Universidades',4317692,100% online,"Español (header badge 'Español'; page JSON-LD '""inLanguage"": ""es""')","NOT FOUND on the page (VIU quotes by advisor; page advertises 'Apertura de expediente gratuita y hasta un 33% de descuento', '5% adicional por pago al contado', '5% adicional por pago en dos plazos', 'Financiación a 36 meses sin intereses')",https://www.universidadviu.com/es/master-ciberseguridad,"Every VIU máster page publishes TWO separate academic calendars per academic year, listed under 'Calendarios académicos' — VERBATIM: 'Convocatoria octubre 26/27 ... Convocatoria abril 26/27 ... Convocatoria octubre 25/26 ... Convocatoria abril 25/26'. The April calendar PDF is a full standalone annual plan, headed VERBATIM 'Planificación General / Máster / ABRIL 2026/27', and its month grid runs April 2026 → April 2027 with legend entries 'Inicio del primer cuatrimestre', 'Inicio del segundo cuatrimestre', 'Tutoría inicial a cargo del Director/a de Título' and 'Períodos de TFM'. The Big Data programme's own April calendar is headed 'Máster Universitario en Big Data y Ciencia de Datos — ABRIL 2026/27 - Complementos Formativos' with legend 'Inicio de los Complementos Formativos' and a grid opening in February 2026, i.e. the bridging credits run BEFORE the April cohort's first cuatrimestre. VIU's central calendar page hosts the pair as separate general master calendars: '04_26 CG Máster.pdf' and '10_26 CG Máster.pdf'. Programme header badge as at 2026-08-29 (October convocatoria currently on sale): 'PLAZAS LIMITADAS | Oct. 2026 | 60 ECTS | Oficial | 100% online | Español'; JSON-LD on the page carries '""startDate"": ""Oct. 2026""'.","VERDICT: YES — a genuine second cohort start in APRIL, and the strongest structural evidence in this slice. It is not a 'second cuatrimestre' entry: VIU publishes a COMPLETE, SEPARATE annual academic plan for the April convocatoria ('Planificación General Máster ABRIL 2026/27', running April→April) alongside the October one, and it does so per programme as well as centrally. An April entrant follows their own first and second cuatrimestre, their own TFM period and their own complementos-formativos block — that is a cohort, not a mid-year join. EXACT DAY NOT FOUND: VIU's calendars are colour-coded graphics; the day cell marked 'Inicio del primer cuatrimestre' does not survive text extraction, and no VIU page prints the April start as a date. The best indirect evidence is the April 2026 Big Data calendar PDF's own filename and document title, '04_26 MU_Big Data y Ciencia de Datos (15-4-26)', with PDF CreationDate 15 April 2026 — consistent with a mid-April start, but recorded as indicative, NOT as the published start date. CYCLE NOTE FOR A SEPTEMBER-2027 TARGET: the currently published April calendar is 'abril 26/27', i.e. the cohort that started April 2026. The relevant one for this candidate would be the April 2027 ('abril 27/28') convocatoria, whose calendar was not yet published as at 2026-08-29. VIU's publication pattern (25/26 and 26/27 both present) makes its existence very likely but it is not yet a documented fact. APPLICATION DEADLINE: NOT FOUND. VIU publishes no closing date for either convocatoria; it markets on 'PLAZAS LIMITADAS' and rolling advisor-led admission. LANGUAGE: Spanish only ('Español' in the header badge, 'inLanguage: es' in the page's JSON-LD) — a hard filter for this candidate at A0/A1. Confirmed to carry the same four calendars. Coded AC as the closest VIU title to cloud/infrastructure; it is a security master, not a DevOps/SRE one.",YES,,"online, privates",2
Universidad Internacional de Valencia (VIU),Máster Universitario en Interpretación e Investigación Musical (page also indexed as 'Máster en Composición Musical'),A | B,YES,April,'Convocatoria abril 26/27' — 'Calendario M. Investigación Musical Abril 26'. Exact day NOT PUBLISHED.,"2 (April and October, each with its own published academic calendar; both 25/26 and 26/27 pairs are online)","October — JSON-LD '""startDate"": ""Oct. 2026""'",NOT FOUND,"máster universitario (OFFICIAL) — page: 'Se trata de un Máster Universitario Oficial de 60 créditos ECTS, certificado y verificado por la ANECA y el Ministerio de Universidades.'",4318085 (carried from wave-2 verified.jsonl under the name 'Máster Universitario en Composición Musical'; the live page now names the title 'Interpretación e Investigación Musical' — FLAG: name/code pairing NOT re-confirmed in this pass),100% online (page: 'se ofrece en modalidad online'),Español,NOT FOUND,https://www.universidadviu.com/es/master-composicion-musical,"Under 'Calendarios Académicos' the page lists VERBATIM: 'Convocatoria octubre 26/27 — Calendario M. Investigación Musical Octubre 26 (investigación) / Calendario M. Investigación Musical Octubre 26 (interpretación) ... Convocatoria abril 26/27 — Calendario M. Investigación Musical Abril 26 ... Convocatoria octubre 25/26 ... Convocatoria abril 25/26 — Calendario M. Investigación Musical Abril 25'. Plan: 'El programa consta de 60 créditos ECTS distribuidos en un módulo común y dos especialidades. ... Obligatorias 27, Optativas 33'.","Same VIU two-convocatoria structure as its technical masters: a full separate April academic calendar, not a mid-year join. Two specialities (interpretación / investigación) with separate calendars. The title carries an audition-style specialisation in interpretación; the investigación track is the plausible route for a producer. NAME/RUCT MISMATCH FLAGGED, not resolved: wave-2 recorded this URL as 'Máster Universitario en Composición Musical' RUCT 4318085, while the page as served on 2026-08-29 is titled 'Máster Universitario en Interpretación e Investigación Musical'. A human should re-check which RUCT code the live title carries.",NOT FOUND; YES,,"online, privates",2
"Universitat Internacional Valenciana / Universidad Internacional de Valencia (VIU) — 100% online, Valencia",Máster Universitario en Big Data y Ciencia de Datos,AB | AA,YES,"April (second cohort start); the main cohort starts in October — note VIU's autumn start is OCTOBER, not September","Programme page, 'Descargas del Máster en Big Data y Data Science — Calendarios académicos': 'Convocatoria octubre 26/27 — Calendario BG y C. de Datos Octubre 26' and 'Convocatoria abril 26/27 — Calendario BG y C. de Datos Abril 26' (plus the same pair for 25/26). Each convocatoria has its OWN full academic-calendar PDF, i.e. these are two separate cohorts, not two application rounds. The April PDF is titled 'Máster Universitario en Big Data y Ciencia de Datos — ABRIL 2026/27' and its first month grid is April 2026; filename '04_26 MU_Big Data y Ciencia de Datos (15-4-26).pdf'.",2 (October and April),October,"NOT FOUND — VIU publishes no open/close application dates for either convocatoria; admission is rolling against the intake, with only commercial deadlines shown (e.g. a tuition discount 'Hasta el 28 de agosto' / 'hasta el 28/08/2026' for the October 2026 convocatoria).","máster universitario (OFFICIAL) — RUCT 4317654, estado 'Publicado en B.O.E.' (cross-checked in output/ruct-backbone.jsonl)",4317654,100% online (a distancia),Castellano (Spanish) — per the enriched record in output/verified.jsonl; not re-verified in this pass,NOT FOUND in this pass (see output/verified.jsonl for the enriched fee record),https://www.universidadviu.com/es/master-universitario-big-data-data-science,'Calendarios académicos — Convocatoria octubre 26/27 · Calendario BG y C. de Datos Octubre 26 | Convocatoria abril 26/27 · Calendario BG y C. de Datos Abril 26 | Convocatoria octubre 25/26 · Calendario BG y C. de Datos Octubre 25 | Convocatoria abril 25/26 · Calendario BG y C. de Datos Abril 25',"Candidate hit came from output/verified.jsonl (application_rounds: 'Two starts per year: October and April'). VERIFIED LIVE 2026-08-29 on VIU's own programme page, and corroborated by downloading the April convocatoria's academic-calendar PDF from viu's own domain. The April/October pattern has run for at least two consecutive years (25/26 and 26/27), so an April 2027 cohort is very likely but is NOT yet published — do not treat the April 2027 date as sourced.",YES; YES — VER,,"from-dataset, path-AB",2
"Universitat Internacional Valenciana / Universidad Internacional de Valencia (VIU) — 100% online, Valencia",Máster Universitario en Inteligencia Artificial,AA,YES,April (second cohort start); main cohort starts October,"Programme page, 'Calendarios académicos': 'Convocatoria octubre 26/27 — Calendario I. Artificial Octubre 26 | Convocatoria abril 26/27 — Calendario I. Artificial Abril 26 | Convocatoria octubre 25/26 — Calendario I. Artificial Octubre 25 | Convocatoria abril 25/26 — Calendario I. Artificial Abril 25'. Each convocatoria has its own full academic-calendar PDF, i.e. two genuine cohorts per year.",2 (October and April),October,NOT FOUND — VIU publishes no application open/close dates; rolling admission against each convocatoria.,"máster universitario (OFFICIAL) — RUCT 4317649, estado 'Publicado en B.O.E.' (cross-checked in output/ruct-backbone.jsonl)",4317649,100% online (a distancia),NOT VERIFIED in this pass — VIU's Spanish-language page is the only one checked; per AGENT-BRIEF rule 7 do not infer.,NOT FOUND,https://www.universidadviu.com/es/master-inteligencia-artificial,'Calendarios académicos Convocatoria octubre 26/27 Calendario I. Artificial Octubre 26 Convocatoria abril 26/27 Calendario I. Artificial Abril 26 Convocatoria octubre 25/26 Calendario I. Artificial Octubre 25 Convocatoria abril 25/26 Calendario I. Artificial Abril 25',"NEW FIND from output/deferred_candidates.jsonl — this programme was DISCOVERED but never enriched, and no agent had looked at it since discovery. The dataset's own discovery note said nothing about intakes; the April cohort was found by checking VIU's April/October pattern (established from the sibling Big Data master) against this page. AA-path, official, online — a strong fit that the September-anchored sweeps would have missed.",YES,,from-dataset,1
Universitat Oberta de Catalunya (UOC),Máster Universitario en Ciencia de Datos (Data Science),AB | AA,YES,February 2027,Inicio — 17 feb 2027,2 (October and February/March),Autumn cohort starts in September/October; page states 'Matriculación a partir de abril — Para los másters que inician docencia en los meses de septiembre y octubre',NOT FOUND (no closing date published). Opening date IS published: programme header reads 'Próxima inscripción: octubre 2026'; the matriculation block reads 'Matriculación a partir de octubre — Para los másters que inician docencia en los meses de febrero y marzo'. UOC does not publish a hard close date; enrolment runs from October until shortly before the 17 feb 2027 start.,máster universitario (OFFICIAL) — page states 'Titulación oficial ... verificada por el Consejo de Universidades',4316294,"100% Online ('Online y sin horarios', '100% Online')","'Idiomas: Español, Catalán' — 'El mismo programa se ofrece en las dos lenguas en aulas diferentes'. NO English option.","EU: 'Precio orientativo a tiempo completo (1 año): 2.900,00 €' (25,82 €/cr docencia + 18,30 €/cr recursos, 5,16 €/cr convalidadas). NON-EU: 'A tiempo completo (1 año) 4.330 €' / 'A tiempo parcial (2 años) 4.840 €'. Both figures are computed on 60 ECTS only — see notes, the real load is 72 ECTS. Rates 'vigentes en el momento de formalizar la matrícula. Sujetos a revisión anual' (i.e. 2026-27 rates as displayed 2026-08-29).",https://www.uoc.edu/es/estudios/masters/master-universitario-data-science,"Header block: 'Inicio | 17 feb 2027 | 100% Online | 60 Créditos ECTS'. Top banner: 'Próxima inscripción: octubre 2026'. Matriculation block on the same page: 'En la UOC te puedes matricular en dos momentos diferentes del año. Elige la opción que mejor se adapte a tus necesidades. Consulta el plazo de matriculación y el inicio de curso en la página de los estudios que te interesen cursar. / Matriculación a partir de abril — Para los másters que inician docencia en los meses de septiembre y octubre / Matriculación a partir de octubre — Para los másters que inician docencia en los meses de febrero y marzo.' UOC's central enrolment page repeats it: 'Matriculación a partir de mayo — Para los másters universitarios que inician docencia en el mes de octubre. / Matriculación a partir de noviembre — Para los másters universitarios que inician docencia en el mes de marzo.' and frames it as serving new entrants: 'Para facilitar la incorporación y asesoramiento a los nuevos estudiantes, las matrículas efectuadas en el período correspondiente tendrán un descuento en concepto de matrícula anticipada del 20%...'","CRUX FINDING — this IS a genuine second cohort start, not merely the second semester of an autumn cohort. Three independent signals: (1) the programme header's 'Inicio' field, which names the NEXT date on which NEW students begin, currently reads 17 feb 2027 — the October 2026 start is no longer offered on this page; (2) the same page pairs it with 'Próxima inscripción: octubre 2026', i.e. a fresh admission window opening for that February start; (3) UOC's central matriculation page describes the two windows explicitly as 'dos momentos distintos del año' in which you can matricularte, and ties the early-enrolment discount to 'la incorporación y asesoramiento a los NUEVOS estudiantes'. ⚠️ CORRECTION CARRIED: the advertised 60 ECTS is not the real load. 'Para obtener la titulación de máster universitario de Ciencia de datos el estudiante tiene que superar 60 créditos ECTS entre asignaturas obligatorias y optativas y, además, 12 créditos ECTS de asignaturas niveladoras de complementos de formación.' The study plans repeat: 'En esta planificación no se incluyen los 12 ECTS de complementos de formación, adicionales y obligatorios para titularse.' And there is NO exemption route: 'Este máster está adaptado al nuevo RD 822/2021 y tiene la restricción de matricular obligatoriamente las dos asignaturas de complementos de formación durante el primer curso académico, preferentemente el primer semestre... No se podrá continuar los estudios hasta que no se superen los complementos.' REAL LOAD = 72 ECTS, and the quoted 2.900 €/4.330 € prices are computed on 60 ECTS, so the true cost is ~20% higher. MINOR CONFLICT (logged, not resolved): the programme page says starts fall in 'febrero y marzo' with matriculación from October, while UOC's central máster-universitario enrolment page says 'inician docencia en el mes de marzo' with 'matriculación a partir de noviembre'. The programme page's concrete date (17 feb 2027) is the more specific and is taken as governing for this title.",YES,,"online, public",2
Universitat Oberta de Catalunya (UOC) — joint with Universitat Ramon Llull (La Salle),Máster Universitario en Ingeniería de Telecomunicación / Màster universitari d'Enginyeria de Telecomunicació,C,YES,February (or March) for the second semester cohort; September/October for the first,UOC-wide rule (uoc.edu/es/estudios/acceso-matricula/matricula-masters-posgrados-especializaciones): 'Matriculación a partir de abril para empezar el curso en septiembre u octubre' / 'Matriculación a partir de noviembre para empezar el curso en febrero o marzo'. The programme page itself showed only 'Inici: 23 set 2026' at access date.,2,September/October (page showed 'Inici: 23 set 2026'),NOT FOUND as a specific date. UOC states only that matriculation for the February/March start opens in November; no closing date published on the pages read.,máster universitario (official),"4316386 (current UOC title; earlier codes 4312552 and 3500090 also registered to UOC for this title family) — code NOT printed on the programme page at access date, taken from output/ruct-backbone.jsonl, so treat as UNCONFIRMED against the page",100% online,"Català, Castellà (bilingual; classes shared) — verbatim from the Catalan programme page. NOT English.","EUR 20.42/ECTS for EU students plus EUR 18.30/ECTS 'recursos d'aprenentatge'; non-EU quoted approx. EUR 5,790 total (full-time, 18 months) or approx. EUR 6,580 (part-time, 3 years) — rates shown on the page at access date, year of rates not stated on page",https://www.uoc.edu/ca/estudis/masters/master-universitari-enginyeria-telecomunicacio,'Matriculación a partir de noviembre para empezar el curso en febrero o marzo',"90 ECTS. This is the strongest structural spring candidate in path C: UOC is the one Spanish university whose ENTIRE official master's catalogue runs on two teaching-start semesters. CAVEAT recorded honestly: the UOC-wide two-start rule is primary-sourced, but the telecom master's own page displayed only the September start at access date, so per-programme February availability is INFERRED from the institution-wide rule and needs a human to confirm with UOC admissions. Language is a hard filter for this candidate (Catalan/Spanish only, A0/A1 Spanish). Access page states up to 18 ECTS complementos de formación for non-telecom entrants — a Software Engineering degree would likely trigger them.",YES,,path-C,1
"Universitat Politècnica de Catalunya (UPC), Barcelona",Máster Universitario en Aplicaciones y Gestión de la Ingeniería de Telecomunicación (MASTEAM) / Master's degree in Applied Telecommunications and Engineering Management,C | AC,YES,February (second cohort start); September is the main start,"Duration and start date: 1 academic year, 60 ECTS credits. Starting September and February. ... 'For students starting in the autumn, the first semester is taught in the afternoons and the second semester in the mornings. For students starting in the spring, the first semester is taught in the mornings and the second semester in the afternoons.' || Second, independent confirmation on the school's own microsite masteam.masters.upc.edu/en/admission/information, verbatim: 'We have two intakes: Autumn Semester (starting in September) / Spring Semester (starting in February)'.",2 (September and February),September (autumn semester),"5 October – 9 December 2026 pre-inscription for the SPRING (February) semester of curso 2026-27; admission decisions published by 15 January 2027; spring enrolment 25 January – 12 February 2027. These are the published 2026-27 dates and have NOT been shifted forward — the equivalent Oct–Dec 2027 window for a February 2028 start is not yet published. NOTE: UPC warns 'Centers can establish their pre-inscription periods', so the school's own window may differ.","máster universitario (OFFICIAL) — RUCT 4315535; UPC page states 'Official degree — Recorded in the Ministry of Science, Innovation and Universities'",4315535,"presencial (face-to-face), Castelldefels School of Telecommunications and Aerospace Engineering (EETAC). Mornings and afternoons.",English ('Language of instruction: English' on the UPC programme page),"EUR 1,162 approx (EU/resident) / EUR 2,700 (non-EU non-resident) for the full 60-ECTS degree, per upc.edu programme page; the page does not state the rate year.",https://www.upc.edu/en/masters/applied-telecommunications-and-engineering-management-masteam,"UPC official master's academic calendar 2026-2027, '1. Pre-inscription periods for master's studies / New students': 'Autumn semester and, if applicable, in the spring semester — Pre-inscription: January 8 to July 1, 2026; Publication of admitted students (conditionally and definitively): deadline July 17, 2026. Spring semester — Pre-inscription: October 5 to December 9, 2026; Publication of admitted students (conditionally and definitely): deadline January 15, 2027.' Enrolment, spring semester: 'January 25 to February 12, 2027'.","Discovered from output/verified.jsonl (application_rounds prose: 'Programme runs two intakes annually: Autumn Semester (starts September) and Spring Semester (starts February)') and re-verified live on 2026-08-29 against BOTH the UPC central programme page and the EETAC MASTEAM microsite. 300-ECTS candidate note: the UPC page states that an official bachelor's of >=240 ECTS plus this 60-ECTS master satisfies the 300-ECTS doctoral-access requirement. || PRACTICAL VALUE FOR THE CANDIDATE: a February 2027 start would begin ~7 months before the September 2027 target, and its application deadline (9 Dec 2026) falls comfortably after the Aug-2026 degree completion. A February 2028 start is the fallback if a Sept-2027 application fails.",YES,,from-dataset,1
"Universitat Politècnica de Catalunya (UPC), Barcelona",Máster Universitario en Inteligencia Artificial para Industrias Conectadas (AI4CI) / Master's degree in Artificial Intelligence for Connected Industries,AA,YES,February (second cohort start); September is the main start,"Duration and start date: 2 academic years, 120 ECTS credits. Starting September and February || New intake places: 25.",2 (September and February),September (autumn semester),"5 October – 9 December 2026 pre-inscription for the SPRING (February) semester of curso 2026-27; admission decisions published by 15 January 2027; spring enrolment 25 January – 12 February 2027. These are the published 2026-27 dates and have NOT been shifted forward — the equivalent Oct–Dec 2027 window for a February 2028 start is not yet published. NOTE: UPC warns 'Centers can establish their pre-inscription periods', so the school's own window may differ.","máster universitario (OFFICIAL) — RUCT 3500437; UPC page states 'Official degree — Recorded in the Ministry of Science, Innovation and Universities'",3500437,"presencial (face-to-face), Castelldefels School of Telecommunications and Aerospace Engineering (EETAC)",English ('Language of instruction: English' on the UPC programme page),"EUR 2,324 approx (EU/resident) / EUR 5,400 (non-EU non-resident) for the full 120-ECTS degree, per upc.edu programme page; rate year not stated on the page.",https://www.upc.edu/en/masters/artificial-intelligence-for-connected-industries-ai4ci,"UPC official master's academic calendar 2026-2027, '1. Pre-inscription periods for master's studies / New students': 'Autumn semester and, if applicable, in the spring semester — Pre-inscription: January 8 to July 1, 2026; Publication of admitted students (conditionally and definitively): deadline July 17, 2026. Spring semester — Pre-inscription: October 5 to December 9, 2026; Publication of admitted students (conditionally and definitely): deadline January 15, 2027.' Enrolment, spring semester: 'January 25 to February 12, 2027'.","Discovered from output/verified.jsonl (application_rounds prose: 'Two intakes per academic year: September and February') and re-verified live on 2026-08-29 on the UPC programme page itself. Bridging courses ('complementos') are explicitly required for holders of an Informatics Engineering bachelor's — relevant to this candidate's Software Engineering background; the academic committee assesses other degrees case by case. || PRACTICAL VALUE FOR THE CANDIDATE: a February 2027 start would begin ~7 months before the September 2027 target, and its application deadline (9 Dec 2026) falls comfortably after the Aug-2026 degree completion. A February 2028 start is the fallback if a Sept-2027 application fails.",YES,,"from-dataset, public",2
