Program,University,Country,Region,Track,Funding,Fit score,Admission difficulty,Why (difficulty),Language,Portfolio?,Tunisian eligible?,Verified,Deadline status,Scholarship,Stipend / coverage,Tuition (intl),Application opens,Deadline,Fit notes,Source URL,Multi-country?,Entry requirements,Public/Private,All countries (raw),Funding detail (raw),Verification notes
Mestrado em Musica (specializations: Interpretacao and Composicao - Jazz NOT listed as a branch on the official page),Universidade de Evora - Escola de Artes,Portugal,Europe,Sound & Music Tech,Partial,78,Green,Technical program — an engineering background is the expected profile,English,Yes,Yes,Verified,Confirm 2027 date,"UEvora merit scholarship for international students (fee reduced to EUR 1,200/yr) and cooperation/development scholarship (EUR 1,400/yr)","Tuition reduction only (EUR 2,500 -> 1,200 or 1,400/yr); no stipend","EUR 2,500/yr international; drops to EUR 1,200/yr with merit scholarship or EUR 1,400/yr with cooperation/development scholarship (confirmed on official page)",Per UEvora application calendar (calendario de candidaturas) - phases for international students,PRIOR CYCLE - confirm new date (2027/28 international call not yet published),"Cheapest verified public option (EUR 1,200/yr possible with merit scholarship) and partly English-taught per official page; composition branch accepts a portfolio of original works, a realistic route for his productions; note the page requires a music degree 'ou habilitacao equivalente', and orientation is classical - Jazz is not a listed branch (correcting earlier record).",https://www.uevora.pt/estudar/cursos/mestrados?cod=6198,No,Licenciatura in Music or equivalent qualification; interview with minimum grade 12/20 including instrument interpretation test (Interpretacao) OR portfolio of original compositions (Composicao); 4 semesters / 120 ECTS (60 mandatory + 12 optional in course units),Public,Portugal,Partial,"Official page confirmed all key fields: two specializations (Composicao, Interpretacao - no Jazz branch), Portuguese+English teaching, intl fee EUR 2,500/yr with scholarship reductions to EUR 1,200/1,400, interview min 12/20 with interpretation test or composition portfolio, 120 ECTS/4 semesters. Exact application dates behind calendar link, not shown on page."
Mestrado em Som e Imagem - Sound Design specialization (Master in Sound and Image),"Universidade Catolica Portuguesa - Escola das Artes, Porto",Portugal,Europe,Sound Design / Production,Partial,78,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,Yes,Yes,Verified,Date published,"UCP merit scholarships (Regulamento de Bolsas de Merito) - competitive, details on porto.ucp.pt; Erasmus mobility grant for one semester abroad",Check - merit scholarship coverage not quantified on official pages,"EUR 657/month x 10 instalments = ~EUR 6,570/yr (~EUR 13,140 for the 2-year, 120 ECTS programme, 2026/27); no separate international rate; application fee EUR 50; enrollment EUR 460 + annual inscription EUR 365","2026/27: phase 1 Feb 2 - Apr 9; phase 2 Apr 30 - Jun 11; phase 3 Jul 1 - Aug 26, 2026","3rd phase closes 26 Aug 2026 for Sept 2026 intake - STILL OPEN as of 12 Jul 2026 (interviews Sep 1-2, results Sep 7); Sept 2027 cycle not yet published - confirm new dates","Sound design for cinema, games and installations with surround studios; evening classes fit DJ/producer gigging; ~EUR 6,570/yr private tuition is the trade-off; Portuguese comfort needed (French helps him learn fast). 2026 entry still possible via 3rd phase.",https://artes.porto.ucp.pt/en/academics/all-programs/sound-and-image-0 (admissions: https://admissions.porto.ucp.pt/pt/mestrado-em-som-e-imagem),No,Bachelor's degree (or transcript if pending); CV; link to portfolio required; interview for applicants from outside the School of Arts; 45 places across 3 phases; minimum admission score may be set per phase; pos-laboral (evening) regime,Private,Portugal,Partial,"Programme with Sound Design specialization, pos-laboral regime, 2026/27 phase dates, EUR 657/month tuition, portfolio-link requirement and EUR 50 application fee confirmed on official UCP admissions page (12 Jul 2026). Language of instruction not explicitly stated (materials in Portuguese). Merit scholarship existence confirmed but coverage unquantified. The prior-cycle dates in the draft were superseded by the published 2026/27 calendar."
"WAVES — Waves, Acoustics, Vibrations, Engineering and Sound (Erasmus Mundus Joint Master)","Consortium: University of Coimbra, Universitat Politècnica de València (Gandia), Aix-Marseille Université & Centrale Méditerranée (Marseille)",Portugal,Europe,Acoustics / Audio Eng,Full (external scheme),78,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,No,Yes,Verified,Date published,Erasmus Mundus Joint Masters Scholarship — no new cohort being recruited,Standard EMJM package in prior cycles (participation costs waived + monthly living allowance + travel) — NOT available for any current intake since recruitment is closed,UNVERIFIED (moot while recruitment is closed),SUSPENDED — no recruitment campaign; platform offline,SUSPENDED — official site states (dated 1 Oct 2025) that the recruitment campaign for a 2026-2028 cohort will NOT open and the application platform is unavailable. No 2027 intake announced.,"Would be an excellent technical fit (acoustics + DSP leveraging the CS/software degree), but there is currently NOTHING to apply to: the consortium confirmed no 2026-2028 cohort and gave no signal about a 2027-2029 one. Monitor the site; do not plan around it for Sept 2027.",https://master-waves.eu/,Yes,Bachelor in engineering/physics/acoustics or related; English required (score threshold not shown on current site),Consortium (public universities),Portugal / Spain / France,UNVERIFIED (was Full in prior cycles; no current funded cohort exists),"Official site fetched 13 Jul 2026. CONFIRMED: consortium members (Coimbra S1, UPV Gandia S2, Aix-Marseille + Centrale Méditerranée S3), fully English-taught, Erasmus Mundus label, and the key warning — as of 1 Oct 2025 recruitment for a 2026-2028 cohort was cancelled and the application platform is unavailable. NOT on page: tuition, English score, scholarship terms (all irrelevant while suspended). The suspension itself is fully verified; treat this option as inactive unless a new funded call appears."
"Master of Music in Music Production, Technology, and Innovation (MPTI)",Berklee College of Music - Valencia Campus,Spain,Europe,Sound Design / Production,Partial,78,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,Yes,Yes,Verified,Date published,"Berklee General Scholarship (all master's applicants, merit-based, automatic via scholarship application); Berklee Valencia Diversity Scholarship up to 50% tuition (4/yr); Outstanding Women Scholarship up to 70% tuition (1 per programme); total awards capped at 90% of tuition. (The '>EUR 125,000 pool' figure was NOT found on the current official page.)",Tuition-only awards split across the 3 semesters; no living stipend,"USD 1,615/credit for 2026-27 (verified); MPTI is 32-33 credits over 3 semesters (1 academic year) => ~USD 52,000-53,500 tuition, plus USD 1,600 comprehensive fee, USD 150 application fee, USD 2,500 deposit (credited), software bundle USD 200-850",Check (typically autumn before entry year; scholarship application submitted after program application via portal),"Recurring annual pattern verified on official deadlines page (year not stated): Early Action 1 Nov (scholarship 15 Nov), Regular 15 Jan (scholarship 1 Feb), Extended 10 Mar. For Sept 2027 entry expect 1 Nov 2026 / 15 Jan 2027 / 10 Mar 2027 - confirm cycle year when portal opens. 2026-entry deadlines have passed.","Verified best career-goal match: official page explicitly targets producers, DJs, electronic composers and music technologists; 1-year, 3-semester format with optional internship semester; remains an expensive private option (~USD 55k+ all-in) softened by merit scholarships up to 50-90% for exceptional candidates",https://valencia.berklee.edu/graduate-programs/mpti/music-production-technology-and-innovation,No,"Bachelor's degree; excellent musicality, facility with technology, artistic + academic success; creative portfolio/submission; English if degree not English-taught: recommended IELTS 7.5 / TOEFL iBT ~80 (pre-2026 scale) / Duolingo 120 - a HIGH English bar given tests not yet taken; placement exams (Engineering, Ableton) after admission",Private,Spain,Partial,"Verified on official Berklee Valencia pages: programme content/audience, 3-semester structure, credit count, 2026-27 per-credit tuition (USD 1,615) and fees, scholarship lineup and caps, and the Nov 1 / Jan 15 / Mar 10 deadline structure. Deadline page does not state the entry year - treat as recurring pattern. English scores are 'recommended' minimums per Berklee admissions."
"Master Programme in Music, Composition - Scoring for Film and Media",Lund University - Malmö Academy of Music,Sweden,Europe,Sound Design / Production,Partial,78,Red,Requires a Bachelor of Music — you don't have one,English,Yes,Yes,Verified,Confirm 2027 date,"Lund University Global Scholarship (merit-based, for non-EU/EEA) + Swedish Institute Scholarship: Global Professionals - both listed on the official programme page","LU Global: tuition only (partial or full). SISGP: full tuition + living costs (~SEK 12,000/month) + travel - SISGP amounts are prior-cycle figures, confirm on si.se","SEK 390,000 total programme (first instalment SEK 97,500) - verified on Lund official page","Expected 16 October 2026 (Swedish national round) - not stated on programme page, confirm","PRIOR CYCLE - confirm new date. Official page shows 'Closed for applications' for Autumn 2026; expect ~15 January 2027 national-round deadline for Sept 2027, plus programme entrance tests",Composition-for-media pathway at a major public university with real scholarship routes; the Bachelor-in-Music requirement is the hurdle for a software-engineering graduate ('or equivalent' assessed case by case - Check with Malmö Academy). Other English-taught music master's at the Academy are also audition-based.,https://www.lunduniversity.lu.se/lubas/i-uoh-lu-KAMUS-KOFM,No,Bachelor's degree in Music (180 credits) or equivalent + successful entrance tests; selection based on auditions - verified on official page,Public,Sweden,Partial-Full (competitive),"All key facts confirmed on the official Lund programme page: programme exists, English-taught, SEK 390,000 total / SEK 97,500 first instalment, LU Global Scholarship and SI Global Professionals both listed, music bachelor's + entrance tests/auditions required, Autumn 2026 application closed (hence PRIOR CYCLE flag). 2027 opening date and SISGP stipend amounts not on this page - retained as expectations to confirm."
MA Contemporary Arts Practice - Sound Arts track,Bern Academy of the Arts (HKB / BFH),Switzerland,Europe,Sound & Music Tech,Partial,78,Green,Technical program — an engineering background is the expected profile,English,Yes,Yes,Verified,Confirm 2027 date,HKB scholarship fund (awarded twice yearly; requires 'proven and well-founded need'); contact for CAP funding: Daniela Wuethrich,Need-based aid via HKB fund; exact amount and whether it covers living costs UNVERIFIED beyond tuition support,"CHF 2,550/semester rate and CHF 850/semester rate both listed on official page; higher rate applies by residency/entry status - confirm which applies to a Tunisian entering Switzerland to study",UNVERIFIED (not stated on official page),PRIOR CYCLE - confirm new date (2026 intake deadline confirmed on page: Mon 16.3.2026),One of few English-friendly Swiss sound-arts masters; interdisciplinary and experimental (sound art rather than club production) - fits the artistic side of the DJ/producer goal.,https://www.hkb.bfh.ch/en/studies/master/contemporary-arts-practice/,No,"BA (or equivalent) in Fine Arts, Sound Arts, Literary Writing and Literary Translation, Performance Art or a related field; 120 ECTS, 4 semesters full-time","Public (arts university, part of Bern UAS)",Switzerland,Partial (need-based internal fund),"Official page confirmed: Sound Arts is one of four specializations; trilingual lectures (EN/DE/FR); 120 ECTS / 4 semesters; portfolio requirement; BA entry requirement; need-based HKB scholarships twice yearly; 16.3.2026 deadline (prior cycle). Both CHF 850 and CHF 2,550 semester rates appear on the page but the mapping to Swiss vs international status was ambiguous in the fetched summary - candidate should confirm the international rate. Application-open date not published."
MA in Media Arts (Dept. of Performing Arts Technology),University of Michigan (SMTD),USA,North America,Sound & Music Tech,Partial,78,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,Yes,Yes,Verified,Date published,Graduate Student Research Assistantship (GSRA); SMTD merit scholarships,GSRA includes tuition support + stipend + benefits for ~10 hrs/week research/creative work (per official program page); allocation depends on faculty/departmental need,UNVERIFIED (public out-of-state rate applies without GSRA),UNVERIFIED (SMTD graduate applications typically open early autumn),December 1 (standing annual deadline confirmed); confirm exact date for Fall 2027 entry,Small research-oriented music-tech MA where a GSRA can cover tuition + stipend + benefits - one of the better realistic funded paths for a CS graduate into electronic music / interactive audio.,https://smtd.umich.edu/degree/master-of-arts-in-media-arts/,No,Bachelor's degree; program sits at the intersection of media arts and music technology and welcomes technical/CS backgrounds; TOEFL/IELTS for internationals (Check),Public,USA,Partial to Full (GSRA),"Confirmed via SMTD program page/search: MA in Media Arts sits in the Dept. of Performing Arts Technology at the intersection of media arts and music technology; application deadline is December 1 (standing annual - confirm Fall 2027 date); GSRA entails tuition support + stipend + benefits for ~10 hrs/week of research/creative work (subject to availability and faculty/departmental need), so funding is Partial-to-Full but not guaranteed. Portfolio expected (exact format to confirm on the application page) and TOEFL/IELTS required for internationals. International tuition figure not confirmed. Tunisian nationals eligible."
MM in Music Technology,New York University (Steinhardt),USA,North America,Sound & Music Tech,Partial,78,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,Yes,Yes,Verified,Confirm 2027 date,Steinhardt Scholarships/Grants and Assistantships (partial; competitive),Program page links to financial aid and 'scholarship opportunities' but publishes no amounts - UNVERIFIED amounts,UNVERIFIED (not on program page; NYU graduate tuition is high - confirm on Steinhardt tuition page),UNVERIFIED (typically opens ~Sept/Oct),January 15 for Fall (per official how-to-apply page; PRIOR CYCLE - confirm new date for Sept 2027),Strong computing-heavy audio/DSP fit for CS background; NYC industry network ideal for producer/DJ goal. Funding only partial - pair with Fulbright.,https://steinhardt.nyu.edu/degree/mm-music-technology/how-apply,No,"Bachelor's; 40-45 credits, full- or part-time, Fall start; basic competence in music theory and history prerequisite; music theory entrance exam on admission (up to 8 remedial points possible); English test required for internationals (specific scores on separate NYU page)",Private,USA,Partial,"Official how-to-apply page confirms: Jan 15 Fall deadline (labeled prior cycle since Sept-2027 dates not yet posted), 40-45 credits full/part-time, mandatory online portfolio with up to 3 described works (SoundCloud/Vimeo/web links), music theory/history prerequisite + entrance exam. Scholarship amounts and international tuition are not published on the program page - left UNVERIFIED. English testing referenced but specific requirements on a separate page."
MS in Music Technology,Georgia Institute of Technology (School of Music),USA,North America,Sound & Music Tech,Partial,78,Green,Technical program — an engineering background is the expected profile,English,Yes,Yes,Verified,Confirm 2027 date,Graduate Assistantships (GTA/GRA: tuition waiver + stipend; limited for MS students),Assistantships give a tuition waiver + monthly stipend for 15-20 hrs/week work; offered to ALL PhD admits but only a LIMITED number of MSMT students; determined as part of the admissions process (can be effectively full funding for those who get one),UNVERIFIED (waived for assistantship holders),UNVERIFIED (typically ~Sept for Fall cycle),January 15 for Fall (per School of Music pages; PRIOR CYCLE - confirm new date for Sept 2027),Excellent fit: computing-heavy program that explicitly welcomes CS/engineering backgrounds; assistantships (tuition waiver + stipend) can make it near-full funding but are limited at MS level. Research/DSP oriented.,https://catalog.gatech.edu/programs/music-technology-ms/,No,"Undergrad degree in music, computing, engineering or related; must demonstrate musical background (performance/composition/theory) plus basic computing/engineering skills; 48 credit hours, 4 semesters, Project or Thesis track",Public,USA,Partial,"Official catalog page confirms 48 credits, 4 semesters, Project/Thesis tracks, entry background requirements, and committee portfolio review. School of Music scholarships/assistantships page confirms GTA/GRA with tuition waiver + monthly stipend at 15-20 hrs/week, offered to all PhD students but only a limited number of MSMT students, decided at admission. Jan 15 Fall deadline confirmed via School of Music program pages (prior cycle). Assistantship stipend amounts and international tuition not published - UNVERIFIED. music.gatech.edu returned 503 during checks; details confirmed via search-indexed official pages."
MA Audio Production (JAMES-accredited),"University of Westminster, London",United Kingdom,Europe,Sound Design / Production,Partial,78,Amber,GPA threshold — check against your transcript,English,Yes,Yes,Verified,Date published,,"GBP 3,000 tuition-only International Postgraduate Excellence Award confirmed; Chevening (external) covers course fees, flights and accommodation if won","GBP 16,000/year (2026/27 international fee, official course page - corrects ~GBP 15,000 aggregator figure); fee fixed for duration of study",Check (course applications via Westminster portal; no fixed deadline stated on course page),International Postgraduate Excellence Award: 30 November 2026 (for January 2027 intake) - confirmed open; September 2026 round closed; Sept 2027 scholarship round not yet published,"Long-established London audio-production MA; 2:2-or-experience entry is forgiving and a software degree + production portfolio can work. CONFIRMED this pass: Westminster's own full international scholarships (tuition+accommodation+flights) are NOT currently listed - the only fully-funded route shown on the scholarships page is the external UK-government Chevening Scholarship (Tunisians eligible; applications 'opening soon' as of Jul 2026 - a strong Sept 2027 pathway to pair with this MA). Otherwise only GBP 3,000 partial award.",https://www.westminster.ac.uk/music-courses/2026-27/september/full-time/audio-production-ma,No,"Minimum lower second class honours (2:2), or lower with substantial experience; portfolio of audio/audiovisual work + personal statement on career aspirations required; IELTS 6.5 with at least 6.0 in writing and no element below 5.5 (candidate has not yet taken IELTS)",Public,United Kingdom,"Partial (GBP 3,000 confirmed); Full only via external Chevening (UK govt) - Westminster's own historic full awards not currently offered","Official course page fetched 12 Jul 2026: entry (2:2 or lower with experience), portfolio requirement, IELTS 6.5 (6.0 writing), intl fee GBP 16,000/yr all confirmed. Official scholarships page confirmed: GBP 3,000 International Postgraduate Excellence Award for Jan 2027 intake, deadline 30 Nov 2026; Sept 2026 round closed; only fully-funded listing is external Chevening ('applications opening soon'). Westminster's historic in-house full international scholarships are not on the current page - monitor for reopening ahead of Sept 2027."
MA Music Production (validated by University of Hull),Leeds Conservatoire,United Kingdom,Europe,Sound Design / Production,Partial,78,Amber,No explicit statement on non-music backgrounds — ask admissions,English,Yes,Yes,Verified,Not published,"International Principal's Scholarships (4 x GBP 5,000, partial tuition fee waiver, awarded on audition/portfolio and personal statement); Chevening Scholarship (external, Tunisia eligible - not confirmed on this page)","GBP 5,000 partial tuition fee waiver (institutional); Chevening (external): full tuition + living stipend + flights","GBP 20,600 (2026 entry, MA Music courses including Production - corrected from GBP 20,000)","UNVERIFIED (via UCAS Conservatoires code 802F, institution code L31, or direct application); Sept 2026 entry currently shown as closed - 2027 cycle expected to open autumn 2026",UNVERIFIED - Check UCAS Conservatoires cycle for Sept 2027 entry,1-year conservatoire MA; lower IELTS bar (6.0); the APEL professional-experience route helps a self-taught producer with a CS degree; UK taught master's are Chevening-eligible and Tunisia is a Chevening country (external - verify on chevening.org),https://www.leedsconservatoire.ac.uk/courses/postgraduate-courses/ma-music-production/,No,"Good honours degree, 2:2 or equivalent, usually music production/music-related, OR professional experience via APEL process; IELTS 6.0; portfolio of two recent original works (~10 min total) + online interview",Conservatory,United Kingdom,Partial (institutional) / Full possible via external Chevening,"Program confirmed on official page: University of Hull validation, 2:2 or APEL experience route, IELTS 6.0, portfolio of two works (~10 min) + online interview, UCAS Conservatoires 802F. International fee corrected to GBP 20,600 (2026 entry) and 4 x GBP 5,000 international postgraduate Principal's Scholarships confirmed on the conservatoire's international fees page. 2027 deadlines not yet published. Chevening eligibility is an external claim not verified here."
"MA Popular Music Practice (specialisms: Production, Performance, Composition, Entrepreneurship)","BIMM University (London, Bristol, Brighton, Birmingham, Manchester)",United Kingdom,Europe,Sound Design / Production,Partial,78,Amber,No explicit statement on non-music backgrounds — ask admissions,English,Yes,Yes,Verified,Confirm 2027 date,"Early Acceptance Discount £2,000/yr for non-EU/EEA internationals (accept offer + pay deposit by 06 Aug 2026; not combinable with other offers). A 'Launchpad Bursary' (up to one-third off) is advertised but BIMM's bursaries/Creative Futures Bursary require UK residency/home-fee status - not for overseas PG students.","Tuition discount only (£2,000/yr)","£15,950/yr (2026, non-EU international) - CONFIRMED on BIMM international fees & finance page",UNVERIFIED,"2026 intake: Early Acceptance Discount deadline 06 Aug 2026 (still upcoming as of today) - this is a discount deadline, not a hard application deadline. Sept 2027 cycle: PRIOR CYCLE - confirm new date.","Flexible major-project MA where he could combine Production + Entrepreneurship specialisms - very close to the DJ/producer career goal; cheapest full campus UK MA in this list. Only a small internationals discount, and the larger Launchpad/Creative Futures bursaries are UK-residency-only.",https://www.bimm.ac.uk/courses/ma-popular-music-practice/,No,Good degree (normally 2:2 or above) OR significant relevant experience; Academic IELTS 6.5 with min 6.0 in each band - CONFIRMED,Private,United Kingdom,Partial (small tuition discount only),"Course page confirms the four specialisms (Production, Performance, Composition, Entrepreneurship), 2:2+/significant experience entry, IELTS 6.5 (6.0 each band), interview for all + possible portfolio. International fees page confirms £15,950/yr non-EU and Early Acceptance Discount £2,000/yr with 06 Aug 2026 deposit deadline (EU/EEA get automatic £6,000 off). Verified that Launchpad/Creative Futures bursaries require UK residency, so they are NOT available to a Tunisian overseas student - funding stays Partial."
"MMus Music (flexible specialisms incl. music technology, composition, performance)",University of Surrey,United Kingdom,Europe,Sound & Music Tech,Partial,78,Green,Technical program — an engineering background is the expected profile,English,Yes,Yes,Verified,Confirm 2027 date,"International Excellence Award (PG): £5,000 tuition reduction; plus 20% Surrey alumni discount - CONFIRMED on page","£5,000 tuition reduction (International Excellence Award); no living stipend","£22,700/yr full-time (£11,400 part-time) - CONFIRMED on official page",UNVERIFIED (2027 cycle not yet published),"PRIOR CYCLE - confirm new date. 2026-entry deadlines CONFIRMED on official page: overseas 24 July 2026, UK 1 Sept 2026. Sept-2027 dates not yet published.","Confirmed: Tonmeister is Surrey's undergrad brand only; the MMus is a general music degree where music technology is just one possible specialism - weaker, portfolio-heavy fit for a CS grad targeting production/DJ vs. computing-led SMC options.",https://www.surrey.ac.uk/postgraduate/music-mmus,No,"2:1 in a relevant subject (2:2 considered case-by-case); IELTS Academic 6.5 overall, min 6.0 each component. CONFIRMED. No postgraduate Tonmeister program exists - the MMus lists music technology only as one integrated specialism.",Public,United Kingdom,Partial,"Official Surrey course page read in full. Confirmed: £22,700 international tuition, 2:1 + IELTS 6.5/6.0 entry, portfolio incl. 2,000-word sample, £5,000 International Excellence Award + 20% alumni discount, and 2026-entry deadlines (overseas 24 Jul 2026, UK 1 Sep 2026). No PG Tonmeister program mentioned - the well-known Tonmeister is undergrad. Sept-2027 deadlines not yet published; treat 2026 dates as prior/current-cycle reference only."
MMus Music (music technology / studio techniques / creative music technology pathways),University of Surrey,United Kingdom,Europe,Sound & Music Tech,Partial,78,Green,Technical program — an engineering background is the expected profile,English,Yes,Yes,Verified,Confirm 2027 date,Surrey International Excellence Award (postgraduate); Chevening-eligible,"International Excellence Award = GBP 5,000 off tuition only; Chevening = full tuition + stipend + travel","GBP 22,700 (full-time 1yr) / GBP 11,400 per yr part-time (verified on official page)",2026-entry applications currently open; 2027 opening date not yet published,"Friday 24 July 2026 for 2026 entry (still open as of today, but extremely tight); Sept 2027 cycle: PRIOR CYCLE - confirm new date","Surrey is the Tonmeister/IoSR home; MMus has Studio Techniques, Digital Performance and a Creative Music Technology Studio (immersive audio) - all confirmed on page. Arts-leaning taught degree needing an artistic portfolio; Tonmeister itself remains undergrad-only. Good if he can show production work.",https://www.surrey.ac.uk/postgraduate/music-mmus,No,"Minimum 2:1 (2:2 considered case-by-case); portfolio incl. min 2,000-word writing sample plus compositions/productions/performance videos per specialisation; IELTS 6.5 overall (6.0 each element)",Public,United Kingdom,"Partial (GBP 5,000 International Excellence Award); Full via Chevening","Official page fetched 13 Jul 2026. Confirmed: programme exists for 2026 entry with studio-techniques/digital-performance/creative-music-technology modules; overseas fee GBP 22,700 FT; overseas deadline 24 July 2026 (2026 entry - only ~11 days away, so realistically a Sept 2027 target); entry 2:1 + portfolio with 2,000-word writing sample; IELTS 6.5 (6.0 each). Scholarships confirmed on page: International Excellence Award GBP 5,000 and 20% alumni discount. 2027-entry dates not yet published."
MSc Acoustics and Music Technology (Edinburgh College of Art / Acoustics and Audio Group),University of Edinburgh,United Kingdom,Europe,Sound & Music Tech,Partial,78,Green,Officially accepts computer/computational science degrees,English,No,Yes,Verified,Confirm 2027 date,Edinburgh College of Art scholarships; Chevening (external),UNVERIFIED,UNVERIFIED on page (shown only via country selector; aggregators suggest ~£33k),"October 2026 (for 2027-28 entry, per official page)",PRIOR CYCLE - confirm new date. 5 July 2026 deadline was for Sept 2026 entry (now PAST). 2027-28 entry requirements/fees publish 1 Oct 2026; applications 'usually open in October'.,"CS is a named preferred background — good fit for a software graduate. Heavier on acoustics/physics/DSP than music production, and the IELTS 7.0 (min 6.0 each) requirement is demanding for a candidate who has not yet sat IELTS/TOEFL.",https://study.ed.ac.uk/programmes/postgraduate-taught/478-acoustics-and-music-technology,No,"CONFIRMED: UK 2:1 (or intl equivalent) in physics, maths, COMPUTER SCIENCE or engineering (or music/music-tech with significant maths/physics); professional experience may substitute. IELTS 7.0 overall (min 6.0 each) — high English bar.",Public,United Kingdom,Partial (ECA awards); Full only via external schemes,"CONFIRMED on official study.ed.ac.uk page: program name, English medium, UK 2:1 entry with Computer Science explicitly listed as acceptable, IELTS 7.0 (min 6.0/component), no portfolio, Sept-2026 deadline was 5 Jul 2026 (now past → PRIOR CYCLE), 2027-28 info publishes 1 Oct 2026 with applications usually opening in October, ECA scholarships available. Only the exact international tuition figure was not displayed on the page (behind a country selector)."
MSc Audio and Music Technology,University of York,United Kingdom,Europe,Sound & Music Tech,Partial,78,Green,Technical program — an engineering background is the expected profile,English,No,Yes,Verified,Not published,"Chevening (external, fully funded); York alumni 10% discount; UK Masters loans (not for Tunisians); School PET subject scholarships (check school funding page)",Chevening (if won) covers full tuition + monthly stipend + travel; internal discounts are tuition-only,"GBP 32,900 (International/EU, full-time 1-yr, 2026/27 entry - confirmed on official page; 2027/28 fee TBC)",Check - York accepts applications year-round; confirm when 2027/28 entry opens,Check - no fixed deadline on page (apply anytime); Sept-2027 cycle dates TBC,"Excellent CS-friendly fit: computing degrees explicitly accepted (must show music-related skills); audio programming, DSP, acoustics; AudioLab industry links. No portfolio; IELTS 6.0 is a modest bar. High intl tuition (GBP 32,900) with only partial internal discounts - realistically needs Chevening or self-pay.",https://www.york.ac.uk/study/postgraduate-taught/courses/msc-audio-music-technology/,No,"2:2 or equivalent in Music/Music Technology OR relevant technology, mathematics, science, engineering or computing degree with demonstrable music-related skills; lower qualifications considered with high relevant-module marks or industry experience. IELTS 6.0 (min 5.5 each component); TOEFL 79 (L17/R18/S20/W17); Cambridge B2 First 169 (min 162 each); pre-sessional English available",Public,United Kingdom,Partial (fee discounts) / None internally; Full via external Chevening,"Official page fetched successfully for 2026/27 entry. CONFIRMED: program exists, 1 yr full-time; International/EU fee GBP 32,900 (2026/27); entry 2:2 in music tech OR tech/maths/science/engineering/computing with flexibility for lower qualifications; IELTS 6.0 (5.5 each) / TOEFL 79 / Cambridge 169; funding list (Chevening, 10% alumni discount, school scholarships, UK Masters loans); no portfolio mentioned; pre-sessional English available. No application deadline published - York-standard rolling admissions; 2027/28 fees and dates not yet posted."
Media Arts Cultures (MediaAC) — Erasmus Mundus Joint Master of Arts (120 ECTS),"Consortium: University for Continuing Education Krems (coordinator), Aalborg University, University of Lodz, LASALLE College of the Arts",Austria,Europe,Business / MBA,Full,76,Amber,No explicit statement on non-music backgrounds — ask admissions,English,Check,Yes,Partial,Confirm 2027 date,Erasmus Mundus Joint Masters Scholarship,"Confirmed on official scholarship page: all participation fees covered + EUR 1,000/month for 24 months + travel/installation: partner-country students (Tunisia) get EUR 5,000 (<4,000 km from Krems) or EUR 7,000 (>=4,000 km) — Tunisia falls in the EUR 5,000 band; programme-country students get EUR 1,000/yr travel. Stipend withheld for months absent; taxes are recipient's responsibility.",UNVERIFIED (a 'Cost Overview' page exists; fee figure not on pages read — waived for scholarship holders),UNVERIFIED (announced ~Feb each cycle per official site),PRIOR CYCLE - confirm new date (official site: rules and dates for the 2026-2028 intake 'available in February 2026'; site content appears not yet updated for the 2027 cycle — check for Sept 2027 dates),"Media-arts theory/curatorial + creative-and-cultural-sector careers; useful for industry/creative-industries network rather than hands-on production. Weaker on production skills than ReSound/DIGICREA. Note lower stipend (EUR 1,000/month) than EMJM peers.",https://www.mediaartscultures.eu/mediaac/ (scholarships: https://www.mediaartscultures.eu/mediaac/scholarships/erasmus-scholarships/),Yes,At least a first (bachelor's) degree; sufficient academic English; 'requirements and chances for acceptance are the same for all applicants from all countries'. Complete documentation mandatory — incomplete applications ineligible.,Consortium,Austria / Denmark / Poland / Singapore,Full,"Confirmed on mediaartscultures.eu: consortium and countries; EUR 1,000/month x 24 months + fees covered + EUR 5,000/7,000 partner-country travel-installation bands (Tunisia -> EUR 5,000, refining the prior note); English instruction; equal treatment of all nationalities; 'dates available Feb 2026' notice. NOT confirmed: tuition figure, portfolio requirement, number of scholarships, current 2026/2027 application dates (site not yet updated)."
