scholarship_id,name,funder,block,amount_detail,covers,tunisian_eligible,eligibility_verbatim,exclusion_clause_verbatim,deadline_2027_intake,application_url,path_codes,notes,sources
aecid-lectorados,Lectorados MAEC-AECID de español en universidades extranjeras,MAEUEC / AECID,Spanish government,NOT FOUND on the page read. 150 lectorado positions across 147 universities in 74 countries (2026-2027 call).,"A teaching post ('persona que ejerce la docencia del español como lengua extranjera en universidades extranjeras'), not study funding.",NO,"AECID 2026-2027 lectorados call: open to 'jóvenes españoles' who 'no han de superar los 37 años', hold a university degree in Arts/Humanities or Social/Legal Sciences, have 'formación específica para la docencia del español' and teaching experience in Spanish.",'jóvenes españoles' — Spanish nationality required.,2026-2027 call: new/vacant posts 13–30 January 2026; renewals 13–21 January 2026 and 22–29 April 2026. 2027-2028 NOT FOUND.,https://www.aecid.es/w/convocatoria-aecid-2026-2027-de-lectorados-de-espa%C3%B1ol-en-universidades-extranjeras,,"Recorded to complete the AECID line-by-line map. It is a job abroad teaching Spanish, not a master's scholarship, and requires Spanish nationality. Not a route.","{""field"": ""eligibility, requisitos, deadlines, count"", ""url"": ""https://www.aecid.es/w/convocatoria-aecid-2026-2027-de-lectorados-de-espa%C3%B1ol-en-universidades-extranjeras"", ""accessed"": ""2026-08-25""}"
csic-jae-intro,CSIC — Becas JAE Intro / JAE Intro ICU (introducción a la investigación),Consejo Superior de Investigaciones Científicas (CSIC),Spanish government,NOT FOUND — no amount stated on any CSIC page reachable during this pass. Volume for 2026: '240 becas JAE INTRO de introducción a la investigación' and '441 becas JAE Intro ICU de introducción a la investigación en 2026'.,"An introduction-to-research stipend for a short placement in a CSIC research group. It is NOT tuition or living funding for a master's degree — the master's degree is the context, not the object of the grant.",NOT FOUND,"NOT FOUND. The CSIC pages reachable in this pass (csic.es 'Formación de personal investigador' and its Máster sub-page) name 'Becas Programa JAE', 'Alianza académica UIMP-CSIC', 'Participación en másteres', 'Trabajo Fin de Máster (TFM)' and 'Prácticas de máster Convenio Universidades-CSIC' but publish no requisitos, no nationality clause and no amounts at that level; the annual convocatoria PDF (sede.csic.gob.es) could not be located — the two URLs tried returned HTTP 404.","NOT FOUND — do not assume either way. The general pattern for JAE Intro is that the applicant must already be enrolled in a Spanish university grado or máster, which would make it a top-up AFTER admission and funding are secured, not a way to fund the move to Spain. That is stated as a pattern, NOT as a verified rule.",NOT FOUND.,https://www.csic.es/es/formacion-y-empleo/formacion-de-personal-investigador/master,A | B | C | AA | AB | AC,"BLOCKER — needs a human. CSIC's own site does not expose the JAE Intro convocatoria requisitos at any URL found; both sede.csic.gob.es paths tried 404'd and the WebSearch budget for this session was exhausted before the convocatoria could be located. What IS established: CSIC's JAE line is an introduction-to-research grant sitting alongside an existing enrolment, so even if open to non-EU nationals it does not solve the primary funding problem (tuition + living costs for a September 2027 master's intake). Relevant to path codes AA/AB/AC/A/B/C because CSIC institutes (e.g. IIIA-CSIC in AI) host such placements. Recommend a human open https://sede.csic.gob.es and the CSIC convocatorias listing to read the requisitos before this is ranked at all.","{""field"": ""JAE Intro volumes 2026; CSIC master-level offer list"", ""url"": ""https://www.csic.es/es/formacion-y-empleo/formacion-de-personal-investigador"", ""accessed"": ""2026-08-25""} | {""field"": ""master-level programme names, no requisitos published"", ""url"": ""https://www.csic.es/es/formacion-y-empleo/formacion-de-personal-investigador/master"", ""accessed"": ""2026-08-25""}"
ministerio-universidades-master-funding,"Ministerio de Ciencia, Innovación y Universidades — funding for máster universitario students","Ministerio de Ciencia, Innovación y Universidades",Spanish government,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND — universidades.gob.es returned HTTP 503 on every attempt during this pass (root and two beca paths).,NOT FOUND,NOT FOUND,https://www.universidades.gob.es/,,"BLOCKER — needs a human. IMPORTANT CONTEXT that limits how much is missing: the Spanish state's general student scholarship for máster universitario is the Ministerio de Educación 'beca de carácter general' already recorded in this file (scholarship_id becas-mec-caracter-general), not a separate Universidades instrument. The Universidades/Ciencia department's individual-facing instruments are predoctoral (FPU, FPI, Ramón y Cajal etc.) and the 'beca de colaboración', which attaches to the FINAL YEAR OF GRADO, not to a máster. So the expected finding is that there is no additional central master's scholarship here — but universidades.gob.es was unreachable (503) so this is recorded as NOT FOUND, not as a negative finding. A human should open universidades.gob.es and ciencia.gob.es/Convocatorias to close this.","{""field"": ""attempted, HTTP 503"", ""url"": ""https://www.universidades.gob.es/"", ""accessed"": ""2026-08-25""}"
cat-agaur-beca-general-generalitat,Beca general de la Generalitat de Catalunya per a estudiants que cursin estudis universitaris (grau o master),Generalitat de Catalunya - Agencia de Gestio d'Ajuts Universitaris i de Recerca (AGAUR),Regional,"Modular beca: exempcio/component de matricula plus quantia variable per renda i rendiment academic. Exact 2026-27 amounts not captured; the matricula-waiver component is stated to be exempt from the EU-nationality residence conditions, but NOT from the non-EU residence-permit rule.",Estudis universitaris oficials de grau o de MASTER at any university in the Spanish state university system. Titols propis are not covered.,NO,"Non-EU applicants: 'cal tenir permis de residencia a Espanya es a dir NIE/TIE (Targeta Identificacio Estranger). No serveix el permis d'estada per estudis.' This condition must be satisfied as at 31 December of the year preceding the call. Separately: the applicant must have 'domicili familiar a Catalunya' as at 31 December of the year preceding the call. EU applicants: 'Ser espanyol/a o posseir la nacionalitat d'un estat membre de la Unio Europea', with permanent residence or employment/self-employment in Spain.","'No serveix el permis d'estada per estudis.' - the student-stay authorisation a Tunisian applicant would hold is expressly declared insufficient. This is the same legal distinction the Catalan pricing decree makes in Decret 96/2026 art. 1.5 ('l'autoritzacio d'estada de llarga durada per estudis ... no equival a la condicio de residents'), applied here to funding instead of fees.","The 2026-2027 call ran from late March to mid-May 2026 ('finals de marc a mitjan maig de 2026'), closing 18 May. The equivalent 2027-2028 window is therefore expected around March-May 2027, i.e. BEFORE the September 2027 intake - but it is irrelevant to this candidate, who cannot meet the residence condition at 31.12.2026.",https://agaur.gencat.cat/ca/beques-i-ajuts/beca-general-generalitat/estudiants-domicili-catalunya/informacio-solicitud-requisits/,,"DOUBLE BLOCKER, either one fatal on its own: (1) non-EU applicants need a residence permit, and a study-stay permit is expressly excluded; (2) family domicile must be in Catalonia at 31 December of the preceding year. The candidate is a Tunisian non-resident with no family in Catalonia, so both fail. The brief's note that from 2026/27 AGAUR's beca general ABSORBED the state beca for Catalan-domiciled students makes this WORSE, not better: it means that for a student at a Catalan university there is now a single consolidated route, and that route carries the Catalan residence condition. Wave 3 already established every Spanish central-government scholarship route is closed to this candidate; in Catalonia the regional route that replaced it is closed on the same ground. NOT verified on the AGAUR page itself: the absorption of the state beca (the page does not state it).","{""field"": ""eligibility_verbatim, exclusion_clause_verbatim, covers, deadline"", ""url"": ""https://agaur.gencat.cat/ca/beques-i-ajuts/beca-general-generalitat/estudiants-domicili-catalunya/informacio-solicitud-requisits/"", ""accessed"": ""2026-08-25""} | {""field"": ""2026-2027 call opening"", ""url"": ""https://govern.cat/salapremsa/notes-premsa/809812/sobre-termini-sol-licitar-beca-general-generalitat-al-curs-2026-2027"", ""accessed"": ""2026-08-25""}"
eus-gv-beca-estudios-universitarios-superiores,Becas para realizar estudios universitarios y otros estudios superiores (Beka orokorra / beca general del Gobierno Vasco),"Gobierno Vasco / Eusko Jaurlaritza - Departamento de Ciencia, Universidades e Innovacion",Regional,"Modular. For master's, the aprovechamiento academico component is capped at 250 EUR; other components (matricula, renta, residencia, material) apply per the Orden's scales.",Estudios oficiales de GRADO y MASTER. Titulos propios are excluded. Also excluded: 'No se podra optar a beca para realizar ensenanzas universitarias correspondientes a titulaciones de sistemas universitarios extranjeros.',NO,"'En el caso de personas solicitantes de origen extranjero, ademas del padron, deben poseer la nacionalidad espanola o estar en situacion de residencia legal en Espana.' And: 'Estar empadronada o empadronado en un municipio de la Comunidad Autonoma del Pais Vasco a 31 de diciembre de 2025' (exception where a principal economic supporter pays tax in Euskadi).",'En esta consideracion de residente legal queda excluida la situacion de ESTANCIA POR ESTUDIOS.' - the Basque Government excludes the study-stay authorisation from its definition of legal residence in the same explicit terms Catalonia uses.,"For 2026-2027: ORDEN de 7 de julio de 2026; applications 16 July 2026 to 16 September 2026 for all students. The 2027-2028 call is expected on the same rhythm (Orden in early July 2027, window to mid-September 2027) - which would align with a September 2027 intake, but the candidate cannot satisfy the padron/residence conditions.",https://www.euskadi.eus/ayuda_subvencion/2026/goi-mailako-beka-orokorra/web01-tramite/es/,,"REFUTES the brief's premise that 'its international line is reportedly open - check carefully'. Checked on the Gobierno Vasco's own 2026-2027 convocatoria page: there is NO separate international line for non-resident foreign students. The padron requirement (registered in a Basque municipality at 31.12 of the preceding year) and the legal-residence requirement apply uniformly, and the estancia-por-estudios exclusion is explicit. Verdict: CLOSED. Note the important asymmetry with the fee side: the Basque Country is the ONLY community verified to charge a Tunisian student the resident tuition rate with no surcharge at all, while simultaneously closing its scholarship to that student. For this candidate Euskadi is therefore a LOW-FEE, NO-SCHOLARSHIP jurisdiction - which, given wave 3's finding that every central-government route is also closed, is a better outcome than a high-fee jurisdiction with an equally closed scholarship. Contact given on the page: uni.ikasketak@euskadi.eus.","{""field"": ""eligibility_verbatim, exclusion_clause_verbatim, padron, Orden reference, deadline, amounts, absence of international line"", ""url"": ""https://www.euskadi.eus/ayuda_subvencion/2026/goi-mailako-beka-orokorra/web01-tramite/es/"", ""accessed"": ""2026-08-25""} | {""field"": ""programme landing page"", ""url"": ""https://www.euskadi.eus/alumnado-universitario-becas-estudios-universitarios-y-otros-superiores/web01-a3lagun/es/"", ""accessed"": ""2026-08-25""}"
mad-becas-excelencia-comunidad-madrid,Becas de Excelencia para cursar estudios en las Universidades de la Comunidad de Madrid,"Comunidad de Madrid - Consejeria de Educacion, Ciencia y Universidades",Regional,"2,100 EUR per beca. 2,559 becas in the current call (895 for new entrants, 1,664 for continuing students).","GRADO ONLY. Master's, postgraduate and doctoral study are expressly outside the scope of the scheme.",NO,"The Comunidad de Madrid's own Becas de Excelencia page does not publish nationality or residence conditions in its summary; the decisive text is the scope clause below, which closes the scheme on study level before nationality is ever reached.","'Quedan expresamente excluidas del ambito de aplicacion de esta Orden, las ayudas para la realizacion de estudios correspondientes al tercer ciclo, postgrado o doctorado, ESTUDIOS DE MASTER.'",Current (2025-26) call: applications 9-29 January 2026; subsanacion 26 March - 10 April 2026. Not applicable - master's study is out of scope in any year.,https://www.comunidad.madrid/educacion/becas-excelencia-universitarios,,"Madrid's flagship regional scholarship is CLOSED to this candidate on study level, not on nationality: it is a grado-only scheme and master's study is expressly excluded from the Orden's scope. Madrid appears to run NO general regional master's scholarship comparable to AGAUR's or the Basque general beca. This is a bad combination for the candidate: Madrid is a high-surcharge fee jurisdiction (84.07 vs 45.02 EUR/credit, x1.867, under Decreto 43/2022 art. 4 / Anexo IV) with no regional master's funding to offset it. What DOES exist in Madrid at master's level is university-level and separately funded, not regional - e.g. UAM's own Becas de Excelencia para Estudios de Master Oficial 2026/2027 (refund of 100% of first-enrolment public prices, requires prior enrolment and payment at UAM), and AUIP-funded master's becas at UAH (window 19 March - 29 May 2026). Those belong in the university/foundation blocks, not here, and AUIP is Ibero-American in scope so is unlikely to reach a Tunisian applicant. Orden reference for the current call: Orden n. 6113/2025, del Consejero de Educacion, Ciencia y Universidades.","{""field"": ""exclusion_clause_verbatim, amount, Orden reference, deadline, number of becas"", ""url"": ""https://www.comunidad.madrid/educacion/becas-excelencia-universitarios"", ""accessed"": ""2026-08-25""} | {""field"": ""regional becas landing page"", ""url"": ""https://www.comunidad.madrid/servicios/educacion/becas-estudiantes-universitarios"", ""accessed"": ""2026-08-25""} | {""field"": ""UAM university-level master excellence beca (context, not regional)"", ""url"": ""https://www.uam.es/uam/estudios/beca-ayuda/uam-propias/becas-excelencia-master-26-27"", ""accessed"": ""2026-08-25""}"
val-gva-beca-exencion-tasas,Becas para la realizacion de estudios universitarios - exencion de tasas - en las universidades que integran el Sistema Universitario Valenciano,"Generalitat Valenciana - Conselleria d'Educacio, Cultura i Universitats, Direccio General d'Universitats",Regional,"Exemption from tasas / public prices (the fee component), not a maintenance stipend. Regulated by ORDEN 21/2016 (bases reguladoras) and called annually by resolucion.",Official university studies (grado and MASTER) at a university of the Sistema Universitari Valencia or its affiliated centres. Applicant must not already hold a degree of the same or higher level than the one applied for.,NO,"Nationality: the applicant must be Spanish or an EU citizen; for non-EU foreigners the general Spanish immigration law on the rights of foreigners applies, EXCLUDING those in a temporary-stay situation. Nationality conditions must be met at 31 December of the year preceding the call. Residence: the applicant must be EMPADRONADO in a municipality of the Comunitat Valenciana at the time of applying and must maintain that condition throughout the academic year. For EU citizens and their family members permanent-resident status or employment is not required.",Non-EU applicants in a 'situacion de estancia temporal' are excluded - the same estancia-por-estudios carve-out used by Catalonia ('No serveix el permis d'estada per estudis') and the Basque Country ('queda excluida la situacion de estancia por estudios').,"Most recent call: RESOLUCION de 3 de febrero de 2026, de la Direccion General de Universidades (DOGV num. 10298, 9.2.2026), applications 10 February 2026 to 9 March 2026. The window is FEBRUARY-MARCH, i.e. mid-academic-year and after enrolment - so for a September 2027 start the relevant call would open around February 2028, not before arrival.",https://sede.gva.es/es/inicio/procedimientos?id_proc=G265 | https://universitats.gva.es/es/exempcio-taxes/convocatoria,,"CLOSED, on two independent grounds: the estancia-temporal exclusion and the empadronamiento-in-the-Comunitat requirement. Note the empadronamiento condition is subtler than Catalonia's: it is tested AT THE TIME OF APPLYING and must be maintained, not at 31 December of the prior year - so a student already living in Valencia could satisfy the padron limb. It is the NATIONALITY limb that is fatal, because a student-visa holder is in a temporary-stay situation and is excluded regardless of padron. This matters because Valencia is the harshest explicit fee jurisdiction in the sweep (x2 under Decreto 101/2024 as amended; UMH 2,120 -> 4,241 EUR) and its regional fee-exemption beca cannot be used to offset that. Contact: auniv_becas@gva.es. GAP: the verbatim Spanish of the nationality clause was not read from the ORDEN 21/2016 bases reguladoras text itself - the convocatoria page links to but does not reproduce the requisitos; the wording above is reported from the Generalitat's own materials rather than quoted from the DOGV.","{""field"": ""resolucion reference, DOGV number, deadline, application URL"", ""url"": ""https://universitats.gva.es/es/exempcio-taxes/convocatoria"", ""accessed"": ""2026-08-25""} | {""field"": ""nationality/residence requirements, empadronamiento, coverage"", ""url"": ""https://sede.gva.es/es/detall-tramit?id_proc=265"", ""accessed"": ""2026-08-25""} | {""field"": ""university restatement of the call"", ""url"": ""https://sa.ua.es/es/becas/beca-generalitat/becas-de-estudios-de-la-generalitat-valenciana.html"", ""accessed"": ""2026-08-25""}"
and-bonificacion-99-creditos-primera-matricula,Bonificacion del 99% del precio de los creditos superados en primera matricula (Junta de Andalucia),"Junta de Andalucia - Consejeria de Universidad, Investigacion e Innovacion",Regional,"99% of the price of the credits the student passed at FIRST enrolment, deducted from the following year's matricula. Combined with Andalusia's low tariff (13.68 EUR/ECTS, Grupo 3 Ingenierias, non-habilitante master) this makes the second year of study effectively free. NOT income-tested - it depends on academic performance, not family means.",Grado and MASTER at centros propios y adscritos of the Andalusian public universities (and Andalusian UNED associated centres where also empadronado in Andalucia).,NO FOR THE FIRST YEAR OF A MASTER; CONDITIONAL YES FROM THE SECOND YEAR ONWARD,"Art. 12.1 Decreto 98/2023: 'El estudiantado de los centros propios y adscritos de las universidades publicas andaluzas tendra derecho, en el curso academico de que se trate, a una bonificacion equivalente al 99% del precio de los creditos que hubiera superado en primera matricula en sus estudios de Grado y Master ... cuando se cumplan los siguientes requisitos: ... b) En la PRIMERA MATRICULACION en los estudios de Master, cuando haya estado matriculado en centros propios o adscritos de universidades publicas andaluzas o en ensenanzas artisticas superiores en centros publicos de la Comunidad Autonoma de Andalucia, DURANTE LOS DOS CURSOS ANTERIORES, en los estudios que hayan dado acceso al Master ... c) En la SEGUNDA O SUCESIVA MATRICULACION de estudios de Master, cuando haya estado matriculado en centros propios o adscritos de las universidades publicas andaluzas durante el curso anterior, tomandose en consideracion a efectos de la bonificacion, los creditos correspondientes a asignaturas superadas en primera matricula en dicho curso.'","'Quienes hayan sido beneficiarios de una bonificacion total o parcial en dos titulos de Master no podran obtenerla en un tercero o sucesivos.' Also, per the Junta's own guidance, the bonificacion is directed at those who do not meet the requirements for the Ministry of Education beca, accredited by declaracion responsable - a condition this candidate satisfies trivially, since wave 3 established every central-government route is closed to him.","No separate application window: the bonificacion is applied automatically at matricula by the university, with a declaracion responsable. It is a fee mechanism inside the precios publicos decree, not a call-based beca.",https://www.juntadeandalucia.es/organismos/universidadinvestigacioneinnovacion/areas/universidad/talento/paginas/bonificacion-creditos-matriculas.html,,"THE MOST IMPORTANT POSITIVE FINDING IN THIS BLOCK, and the only regional mechanism in Spain identified as reachable by this candidate. CRITICALLY, art. 12 contains NO nationality condition and NO residence condition - the gate is purely 'were you enrolled at an Andalusian public university in the qualifying prior period'. That gate is what excludes the first year: art. 12.1.b requires prior enrolment at an Andalusian public university (or Andalusian public ensenanzas artisticas superiores) during the two preceding courses in the studies that gave access to the master, which a Tunisian arriving from SMU MedTech cannot satisfy. But art. 12.1.c opens the SECOND and subsequent enrolments to anyone enrolled in an Andalusian public university the previous course - which the candidate WILL be, from year 2 of a 90/120-ECTS master or on any repeated/carried credits. So on a two-year master in Andalusia, year 1 is charged at 13.68 EUR/ECTS with no non-EU surcharge (Andalusia's art. 3.2 leaves the surcharge to each university and Universidad de Sevilla publishes none), and year 2 attracts a 99% bonificacion on the credits passed at first enrolment in year 1. This is by a wide margin the cheapest realistic public route found in the whole sweep. ACTION FOR WAVE 4: confirm per target university (US, UGR, UMA, UCA, UPO, UJA, UAL, UHU, UCO) that (a) it publishes no extracomunitario surcharge under art. 3.2, and (b) it applies art. 12.1.c to international students without an added residence rule of its own. UJA publishes an 'incidencias con la bonificacion' page suggesting per-university administration varies.","{""field"": ""eligibility_verbatim, exclusion_clause_verbatim, article text"", ""url"": ""https://cat.us.es/sites/default/files/documentos/2025-10/boja-05-05-2023-y-modificacion-de-09-09-25.pdf"", ""accessed"": ""2026-08-25""} | {""field"": ""decree of origin"", ""url"": ""https://www.juntadeandalucia.es/boja/2023/84/74"", ""accessed"": ""2026-08-25""} | {""field"": ""scheme description, declaracion responsable, master limit"", ""url"": ""https://www.juntadeandalucia.es/organismos/universidadinvestigacioneinnovacion/areas/universidad/talento/paginas/bonificacion-creditos-matriculas.html"", ""accessed"": ""2026-08-25""} | {""field"": ""regional becas landing page"", ""url"": ""https://www.juntadeandalucia.es/temas/estudiar/becas/junta-andalucia/paginas/universidad.html"", ""accessed"": ""2026-08-25""}"
gal-beme-bolsas-excelencia-mocidade-exterior,Bolsas Excelencia Mocidade Exterior (BEME) - Masteres 2026/2027,Xunta de Galicia - Secretaria Xeral da Emigracion / Direccion Xeral de Xuventude,Regional,"8,000 to 12,500 EUR depending on country of origin and length of the master. 250 becas offered for masters at Galician public universities in 2026/27.","Master universitario of at least 60 ECTS, presencial or semipresencial, at a Galician public university (USC, UDC, UVigo), 2026/27.",NO,"Requires: under 40; SPANISH NATIONALITY; resident outside Spain for at least 2 years; and a demonstrated link to Galicia - by birth in Galicia, by 5 years' continuous residence in Galicia holding Spanish nationality before emigrating, or by being a blood descendant of a person born in Galicia. Plus a grado/licenciatura/ingenieria/arquitectura giving access to master, and enrolment in 2026/27.","The Spanish-nationality requirement is absolute: this is a diaspora-return scheme for the Galician emigrant community, not an international scholarship. A Tunisian national with no Galician ancestry cannot qualify on any of the three vinculacion routes.",The 2026 call for the 2026/27 master intake was open in 2026; a 2027 call for the 2027/28 intake would be expected on the same annual rhythm. Not applicable to this candidate.,https://emigracion.xunta.gal/es/actividad/linea-de-ayuda/programa-becas-excelencia-juventud-exterior-2026 | https://xuventude.xunta.gal/es/node/2816,,"Recorded because BEME is the scheme most likely to be mistaken for an open international route - it is heavily promoted through Spanish embassies and consulates abroad and targets applicants living outside Spain, which superficially fits this candidate. It does not: it is a Galician-diaspora instrument gated on Spanish nationality plus Galician ancestry or prior Galician residence. Amount is large (8,000-12,500 EUR) which makes the false positive costly if not ruled out explicitly. Galicia has no equivalent general regional master's beca open to non-EU non-residents identified in this sweep.","{""field"": ""eligibility, amounts, number of becas, coverage"", ""url"": ""https://emigracion.xunta.gal/es/actividad/linea-de-ayuda/programa-becas-excelencia-juventud-exterior-2026"", ""accessed"": ""2026-08-25""} | {""field"": ""master-specific call page"", ""url"": ""https://xuventude.xunta.gal/es/node/2816"", ""accessed"": ""2026-08-25""} | {""field"": ""FAQ"", ""url"": ""https://emigracion.xunta.gal/es/bolsas-excelencia-mocidade-exterior-2026"", ""accessed"": ""2026-08-25""}"
nav-becas-estudios-universitarios-gobierno-navarra,Becas y ayudas al estudio universitario del Gobierno de Navarra (Grado y Master) / Becas Equidad Master,"Gobierno de Navarra - Departamento de Universidad, Innovacion y Transformacion Digital",Regional,NOT CAPTURED for the 2026-2027 call.,Grado and Master studies at Spanish universities.,NO,The applicant must be empadronado and resident in Navarra at the time of applying; applicant and family must have been empadronados in Navarra since at least 1 January of the year preceding the application and must still be resident there when the application is filed.,"The padron-since-1-January-of-the-prior-year condition is by itself fatal for an applicant arriving from Tunisia for a September 2027 start - the qualifying period would have had to begin on 1 January 2026, before any move to Spain.",NOT FOUND for 2027-2028. The 2023-24 and 2025-26 cycles ran as an annual convocatoria general.,https://www.navarra.es/es/tramites/on/-/line/convocatoria-general-de-becas-y-ayudas-para-estudios-postobligatorios-no-universitarios,,"CLOSED on the family/personal padron requirement. HOWEVER, Navarra carries the single best non-beca funding lever found in this block, and it sits in the FEE decree rather than in any scholarship call: ORDEN FORAL 63E/2026 art. 4.2 lets UPNA waive tuition outright - 'En el marco de los convenios que la Universidad Publica de Navarra suscriba, y que respondan al ambito de acciones en materia de internacionalizacion, cooperacion al desarrollo o de solidaridad con los pueblos o colectivos desfavorecidos, la Universidad podra otorgar EXENCION DE PRECIOS DE MATRICULA en Grado, Master Universitario o Doctorado en los terminos que esten previstos en el respectivo convenio.' That is a live, master-level, nationality-neutral waiver route that does not depend on padron, and it should be pursued by writing directly to UPNA's Servicio de Relaciones Internacionales to ask whether any convenio covering Tunisia or the Maghreb exists. Cross-referenced to the Navarra row of regional-fee-policy.jsonl. GAP: amounts and the 2026-2027 convocatoria text for the beca itself were not opened; the padron requirement is reported from secondary aggregation of the Gobierno de Navarra call, not quoted verbatim from the BON.","{""field"": ""padron/residence requirement, coverage"", ""url"": ""https://www.navarra.es/es/tramites/on/-/line/convocatoria-general-de-becas-y-ayudas-para-estudios-postobligatorios-no-universitarios"", ""accessed"": ""2026-08-25""} | {""field"": ""UPNA convenio-based matricula exemption (art. 4.2)"", ""url"": ""http://www2.unavarra.es/gesadj/Estudios/Precios/OrdenForalPrecios.pdf"", ""accessed"": ""2026-08-25""}"
ara-becas-excelencia-acceso-primera-vez-grado-master,"Becas de excelencia para el acceso, por primera vez, a estudios universitarios oficiales de Grado y Master - Convocatoria 2026",Gobierno de Aragon,Regional,NOT CAPTURED.,First-time access to official Grado or Master studies in 2026-2027 at Universidad de Zaragoza or Universidad San Jorge.,NO,"Requires empadronamiento in a municipality of Aragon, and a PAU access mark of 9 or above. The parallel scheme, Becas de movilidad en los campus universitarios en Aragon (Convocatoria 2026), requires having been a beneficiary of the MINISTRY's general beca in 2025-2026, study at UNIZAR or USJ, and family residence in an Aragonese municipality at least 15 km from the campus.","Two independent blocks. (1) Empadronamiento in Aragon - not satisfiable by an incoming Tunisian applicant. (2) For the movilidad line, prior receipt of the Ministry's general beca is a precondition, and wave 3 established that every Spanish central-government scholarship route is closed to this candidate - so the state-beca gate transmits that closure into the regional scheme.",NOT FOUND for 2027-2028; the 2026 convocatoria covers the 2026-2027 course.,https://www.aragon.es/tramitador/-/tramite/becas-de-excelencia-para-el-acceso-por-primera-vez-a-estudios-universitarios-oficiales-de-grado-y-master/convocatoria-2026,,"CLOSED. Worth recording because it illustrates a pattern that recurs across the regional layer and is decisive for this candidate: several regional schemes are BUILT ON TOP of the state beca (they require the applicant to already hold it, or to have been rejected for it on income grounds while still being nationality-eligible). Since wave 3 established the state routes are closed to this candidate on nationality/residence, that closure propagates. Aragon is also the harshest surcharge jurisdiction (x2 for non-habilitante masters, x3 for habilitantes, Decreto 120/2026 art. 4), so the only Aragonese lever worth pursuing is the art. 4.1.b convenio override recorded in the fee file, which can reduce the non-habilitante master price to the EU rate outright.","{""field"": ""eligibility, coverage"", ""url"": ""https://www.aragon.es/tramitador/-/tramite/becas-de-excelencia-para-el-acceso-por-primera-vez-a-estudios-universitarios-oficiales-de-grado-y-master/convocatoria-2026"", ""accessed"": ""2026-08-25""} | {""field"": ""movilidad line requirements"", ""url"": ""https://www.aragon.es/tramitador/-/tramite/becas-movilidad-campus-universitarios-aragon/convocatoria-2026"", ""accessed"": ""2026-08-25""} | {""field"": ""UNIZAR restatement"", ""url"": ""http://www.unizar.es/actualidad/vernoticia_ng.php?id=97887&idh="", ""accessed"": ""2026-08-25""}"
cyl-ayudas-estudio-grado-master-universidades-cyl,Ayudas al estudio al alumnado que curse estudios universitarios de Grado y Master de las Universidades de Castilla y Leon,Junta de Castilla y Leon - Consejeria de Educacion,Regional,NOT CAPTURED for 2026-2027.,"Grado and MASTER at the universities of Castilla y Leon, including creditos complementarios / complementos de formacion needed to access or obtain the master title - relevant to the 300-ECTS advanced-standing question.",NO,"For the 2025-2026 call: students must be EMPADRONADOS in a municipality of Castilla y Leon within the application period, and must maintain that condition throughout the period in which entitlement to payment of the subvencion is recognised.","The empadronamiento requirement is the block. Note it is tested at the APPLICATION DATE rather than at 31 December of the prior year - milder than Catalonia's or Navarra's - but an applicant applying from Tunisia before arrival cannot satisfy it, and the general 2026/2027 call for postobligatorio studies opened well before a September 2027 arrival.",The general 2026/2027 call for postobligatory (university and non-university) studies is open; specific 2027-2028 dates NOT FOUND.,https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/Ayuda012/1285570226823/Propuesta,,"CLOSED on empadronamiento. Castilla y Leon nonetheless remains attractive on the fee side: it is one of the communities verified as having NO non-EU surcharge in its precios publicos decree (DECRETO 8/2024 full-text checked), with a non-habilitante master at 26.20 EUR/ECTS. The scheme's explicit coverage of complementos de formacion is noted for wave 4 in case the candidate is required to take bridging credits - but it is inaccessible to him. GAP: the verbatim Spanish of the empadronamiento clause was not read from the BOCyL convocatoria text; it is reported from the Junta's own tramitacion page for the 2025-2026 call.","{""field"": ""empadronamiento requirement, coverage"", ""url"": ""https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/Ayuda012/1285570226823/Propuesta"", ""accessed"": ""2026-08-25""} | {""field"": ""2026/2027 general call announcement"", ""url"": ""https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/Noticia/1285627245920/Comunicacion"", ""accessed"": ""2026-08-25""} | {""field"": ""coverage of grado and master"", ""url"": ""https://www.educa.jcyl.es/universidad/es/destacados/ayudas-estudio-alumnado-universitario-grado-master-universi"", ""accessed"": ""2026-08-25""}"
